timecode,seconds,shot,act,visual_scene,narration_line,music_cue,music_intensity_1_5,music_level_db_rel_narration,music_fade,sfx_cue,sfx_source,sfx_level_db_rel_narration,sfx_fade,notes
00:00:39:03,39.13,K07,2 · 2016 · one beginning,"CARD GFX-03 · ನೋಂದಾಯಿತ ಶೈಕ್ಷಣಿಕ ಟ್ರಸ್ಟ್ // ಎಚ್.ಎಸ್.ಆರ್. ಲೇಔಟ್, ಬೆಂಗಳೂರು","ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್, ಬೆಂಗಳೂರಿನ ಎಚ್.ಎಸ್.ಆರ್. ಲೇಔಟ್‌ನಲ್ಲಿರುವ ನೋಂದಾಯಿತ ಶೈಕ್ಷಣಿಕ ಟ್ರಸ್ಟ್.",,,,,Gentle airy whoosh on the gold rule,https://pixabay.com/sound-effects/gentle-amp-echoing-whoosh-sound-effect-451056/,-14,out 0.80s,"[placed] Whoosh 1 of 3. On the rule, not on the cut"
00:00:45:24,45.94,K08,2 · 2016 · one beginning,PHOTOCARD A059 · Charulatha MR,ಇದನ್ನು ಸ್ಥಾಪಿಸಿದವರು ಚಾರುಲತಾ ಎಂ. ಆರ್. ಟ್ರಸ್ಟ್ ಶುರುವಾಗುವ ಮೊದಲೇ ಅವರು ತಮ್ಮ ಬಡಾವಣೆಯ ಮಕ್ಕಳ ಶಾಲಾ ಶುಲ್ಕವನ್ನು ತಾವೇ ಕಟ್ಟುತ್ತಿದ್ದರು.,"One low cello note enters under the founder. Felt piano, single notes, sparse",2,-26,-,,,,,
00:00:56:03,56.10,K09,2 · 2016 · one beginning,PHOTOCARD A082 · trustee mr sm manjunatha,ಅವರ ಜೊತೆಗೂಡಿದವರು ಸಾದೇನಹಳ್ಳಿಯ ಎಸ್. ಎಂ. ಮಂಜುನಾಥ. ಓದಲೆಂದು ಊರು ಬಿಟ್ಟು ನಗರಕ್ಕೆ ಬಂದ ತಮ್ಮ ಕುಟುಂಬದ ಮೊದಲ ವ್ಯಕ್ತಿ.,"Cello holds. Piano answers the bansuri motif once, an octave down",2,-26,-,,,,,
00:01:04:19,64.74,K10,2 · 2016 · one beginning,PHOTO A234 · 2025 saraswati primary school sign,ತಮ್ಮ ಊರಿನ ಹಲವು ಮಕ್ಕಳನ್ನು ಅವರು ಆಗಲೇ ಓದಿಸಿದ್ದರು.,Thins to drone across the 2s pause. Piano out,1,-28,out 1.5s,,,,,2.0s pause written into this shot
00:01:10:08,70.34,K11,2 · 2016 · one beginning,PHOTOCARD A061 · charu talk,2016ರಲ್ಲಿ ಅವರು ಮೊದಲ ಶಾಲಾ ಭೇಟಿ ಮಾಡಿದರು.,"Felt piano alone, three notes, no drone swell. The archive beat",2,-27,in 0.8s,,,,,
00:01:10:12,70.49,K11,2 · 2016 · one beginning,PHOTOCARD A061 · charu talk,2016ರಲ್ಲಿ ಅವರು ಮೊದಲ ಶಾಲಾ ಭೇಟಿ ಮಾಡಿದರು.,,,,,"Single page turn, archival",https://pixabay.com/sound-effects/turn-a-page-336933/,-13,-,"[placed] The 2016 first school visit. Dry, one page. The loudest accent in the film relative to the voice at -13, because it is the only one carrying a story beat on its own"
00:01:14:08,74.34,K12,2 · 2016 · one beginning,CARD GFX-04 · ಒಂದು ಮಗು. // ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ.,ಚಿಕ್ಕಬಳ್ಳಾಪುರ. ಒಂದು ಮಗು. ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ.,"SILENCE. The line lands on its own, then 1.0s hold before the cut",0,silent,out complete by 74.34s,,,,,silence under ಒಂದು ಮಗು. ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ.
00:01:20:12,80.46,K13,2 · 2016 · one beginning,PHOTO A254 · children with steel plates and glasses distribution,ಅದೇ ಭೇಟಿಯಲ್ಲಿ ನೂರೈವತ್ತು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಸ್ಟೀಲ್ ತಟ್ಟೆ ಮತ್ತು ಲೋಟ ವಿತರಿಸಲಾಯಿತು.,"Drone alone returns, very low. No melody under the steel plates line",1,-30,in 2.0s,,,,,
00:01:26:00,85.98,K14,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A144 · 2017 scholarship group photo on school veranda,2017ರಲ್ಲಿ ಒಂದು ಹತ್ತಾಯಿತು. ಹತ್ತು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ವಿದ್ಯಾರ್ಥಿವೇತನ.,ACT 3. Melody enters properly for the first time. Bansuri and piano together,3,-24,in 1.5s,,,,,
00:01:26:00,85.98,K14,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A144 · 2017 scholarship group photo on school veranda,2017ರಲ್ಲಿ ಒಂದು ಹತ್ತಾಯಿತು. ಹತ್ತು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ವಿದ್ಯಾರ್ಥಿವೇತನ.,,,,,Open field wind under act 3,https://pixabay.com/sound-effects/nature-open-field-winds-summer-ambience-64761/,-15,in 2.50s / out 2.50s,"[placed] Ten years of showing up. sfx_voicecheck.py puts its 3-8Hz modulation at 0.151 peak, no syllable rate anywhere, so this is wind and not people"
00:01:32:02,92.06,K15,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A150 · 2018 classroom presentation session,"ಆಮೇಲೆ ಕೆಲಸ ಹಾಗೇ ಮುಂದುವರಿಯಿತು. ವರ್ಷದಿಂದ ವರ್ಷಕ್ಕೆ. ಅದೇ ದಾರಿಗಳು, ಅದೇ ಶಾಲೆಗಳು, ಇನ್ನಷ್ಟು ಮಕ್ಕಳು.",Motif repeats with a small variation each year. Cello counter-line enters,3,-24,-,,,,,2.0s pause written into this shot
00:01:39:21,99.86,K15,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A150 · 2018 classroom presentation session,"ಆಮೇಲೆ ಕೆಲಸ ಹಾಗೇ ಮುಂದುವರಿಯಿತು. ವರ್ಷದಿಂದ ವರ್ಷಕ್ಕೆ. ಅದೇ ದಾರಿಗಳು, ಅದೇ ಶಾಲೆಗಳು, ಇನ್ನಷ್ಟು ಮಕ್ಕಳು.",,,,,Gentle airy whoosh into the 2s pause,https://pixabay.com/sound-effects/gentle-amp-echoing-whoosh-sound-effect-451056/,-18,in 0.20s / out 0.80s,"[placed] Whoosh 2 of 3. The act 2 into act 3 transition, under no narration, so it plays at a solo -23 dBFS"
00:01:41:21,101.82,K16,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A160 · 2021 scholarship distribution crowd,"2020ರಲ್ಲಿ ಶಾಲೆಗಳು ಮುಚ್ಚಿದವು, ಕುಟುಂಬಗಳ ದಿನಗೂಲಿ ನಿಂತಿತು.",Falls away to a single held note for 2020,1,-28,out 2.0s,,,,,
00:01:47:21,107.82,K17,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTOCARD A158 · 2020 pandemic relief announcement poster,ಆಗ ಟ್ರಸ್ಟ್ ಒಂದೇ ಪುಟದ ಪ್ರಕಟಣೆ ಹೊರಡಿಸಿತು. ಪೋಷಕರನ್ನು ಕಳೆದುಕೊಂಡ ಮಕ್ಕಳಿಗೆ. ಕೆಲಸ ಕಳೆದುಕೊಂಡು ಶುಲ್ಕ ಕಟ್ಟಲಾಗದ ಪೋಷಕರಿಗೆ. ನೆರವು ನಿಲ್ಲಲಿಲ್ಲ.,"Drone only through the relief poster. No sad piano, no swell, nothing added",1,-28,-,,,,,1.0s pause written into this shot
00:01:48:03,108.12,K17,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTOCARD A158 · 2020 pandemic relief announcement poster,ಆಗ ಟ್ರಸ್ಟ್ ಒಂದೇ ಪುಟದ ಪ್ರಕಟಣೆ ಹೊರಡಿಸಿತು. ಪೋಷಕರನ್ನು ಕಳೆದುಕೊಂಡ ಮಕ್ಕಳಿಗೆ. ಕೆಲಸ ಕಳೆದುಕೊಂಡು ಶುಲ್ಕ ಕಟ್ಟಲಾಗದ ಪೋಷಕರಿಗೆ. ನೆರವು ನಿಲ್ಲಲಿಲ್ಲ.,,,,,Paper rustle on the one-page announcement,https://pixabay.com/sound-effects/paper-rustle-345748/,-14,in 0.30s / out 1.00s,[placed] The COVID relief poster. `11` held this back as a third page-ish sound after K11 and K36; at 2.6s of rustle rather than a turn it does not read as a third page turn
00:02:00:24,120.98,K18,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A164 · 2022 library bookshelves,2022ರಲ್ಲಿ ಪುಸ್ತಕದ ಕಪಾಟುಗಳು ಎದ್ದವು. ಗ್ರಾಮೀಣ ಶಾಲೆಗಳಲ್ಲಿ ಗ್ರಂಥಾಲಯಗಳು.,Melody returns warmer for the libraries. Piano takes the motif,3,-24,in 1.5s,,,,,
00:02:01:10,121.38,K18,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A164 · 2022 library bookshelves,2022ರಲ್ಲಿ ಪುಸ್ತಕದ ಕಪಾಟುಗಳು ಎದ್ದವು. ಗ್ರಾಮೀಣ ಶಾಲೆಗಳಲ್ಲಿ ಗ್ರಂಥಾಲಯಗಳು.,,,,,"Book handled, shelf",https://pixabay.com/sound-effects/turn-a-page-336933/,-15,-,[placed] Library. The page turn stands in as the book proxy until a real book file is auditioned: https://pixabay.com/sound-effects/search/book/
00:02:08:04,128.18,K19,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A168 · 2022 students in school library,"ದಾನವಾಗಿ ಬಂದ ಕಥೆ ಪುಸ್ತಕಗಳು, ಪಠ್ಯ ಪುಸ್ತಕಗಳು, ಬಳಸದೇ ಉಳಿದ ನೋಟ್‌ಬುಕ್‌ಗಳು.",Strings enter as a soft bed under the books,3,-24,-,,,,,
00:02:13:19,133.78,K20,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A176 · 2023 students in tribal school hall,2023ರಲ್ಲಿ ವ್ಯಾಪ್ತಿ ಹಿಗ್ಗಿತು. ಮೈಸೂರು. ಎಚ್.ಡಿ. ಕೋಟೆ.,Bansuri and strings together as the reach widens,3,-23,-,,,,,
00:02:20:01,140.02,K21,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A172 · 2023 school event backdrop photo,ಒಂಬತ್ತು ಮತ್ತು ಹತ್ತನೇ ತರಗತಿಯ ಮಕ್ಕಳಿಗೆ ವೃತ್ತಿ ಮಾರ್ಗದರ್ಶನ. ಬದುಕಿನ ದಾರಿ ಸದ್ದಿಲ್ಲದೆ ನಿರ್ಧಾರವಾಗುವ ವಯಸ್ಸು ಅದು.,Motif holds steady. No lift under the career-guidance line,3,-23,-,,,,,
00:02:25:15,145.62,K21,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A172 · 2023 school event backdrop photo,ಒಂಬತ್ತು ಮತ್ತು ಹತ್ತನೇ ತರಗತಿಯ ಮಕ್ಕಳಿಗೆ ವೃತ್ತಿ ಮಾರ್ಗದರ್ಶನ. ಬದುಕಿನ ದಾರಿ ಸದ್ದಿಲ್ಲದೆ ನಿರ್ಧಾರವಾಗುವ ವಯಸ್ಸು ಅದು.,,,,,Low swell into the MM Hills reveal,https://pixabay.com/sound-effects/riser-hit-sfx-001-289802/,-15,in 0.50s / out 0.60s,[placed] The riser-plus-hit `11` section 7 said to audition before buying anything new. Kept under the whoosh family in level so it reads as a swell and not as a trailer cue
00:02:28:12,148.50,K22,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A180 · 2024 car trunk filled with books and supplies,"2024ರಲ್ಲಿ ಎಂ.ಎಂ. ಹಿಲ್ಸ್‌ನ ಬುಡಕಟ್ಟು ಶಾಲೆಗಳಲ್ಲಿ ಇನ್ನೂರು ಶಾಲಾ ಚೀಲ, ನೋಟ್‌ಬುಕ್ ಮತ್ತು ಲೇಖನ ಸಾಮಗ್ರಿಗಳೊಂದಿಗೆ ಶೈಕ್ಷಣಿಕ ವರ್ಷ ಆರಂಭವಾಯಿತು.","Builds, restrained. Soft frame drum enters for the first and only time. NO SWELL ON THE NUMBERS",4,-22,-,,,,,
00:02:28:22,148.90,K22,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A180 · 2024 car trunk filled with books and supplies,"2024ರಲ್ಲಿ ಎಂ.ಎಂ. ಹಿಲ್ಸ್‌ನ ಬುಡಕಟ್ಟು ಶಾಲೆಗಳಲ್ಲಿ ಇನ್ನೂರು ಶಾಲಾ ಚೀಲ, ನೋಟ್‌ಬುಕ್ ಮತ್ತು ಲೇಖನ ಸಾಮಗ್ರಿಗಳೊಂದಿಗೆ ಶೈಕ್ಷಣಿಕ ವರ್ಷ ಆರಂಭವಾಯಿತು.",,,,,School bag zip,https://pixabay.com/sound-effects/backpack-34942/,-13,in 0.10s / out 0.60s,[placed] Two hundred school bags at MM Hills. Under a bag close-up only
00:02:39:13,159.54,K23,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A220 · 2025 children with volunteers under tree,"ಮತ್ತು 2025ರಲ್ಲಿ, ಎಚ್.ಡಿ. ಕೋಟೆಯಲ್ಲಿ, ಮುನ್ನೂರು.","The film's highest point. Warm land under ಮುನ್ನೂರು, then holds through the 2.5s silence without filling it",4,-20,-,,,,,
00:02:43:09,163.34,K23,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A220 · 2025 children with volunteers under tree,"ಮತ್ತು 2025ರಲ್ಲಿ, ಎಚ್.ಡಿ. ಕೋಟೆಯಲ್ಲಿ, ಮುನ್ನೂರು.",,,,,Soft warm low land under ಮುನ್ನೂರು,https://pixabay.com/sound-effects/cinematic-low-hit-291095/,-13,in 0.02s / out 0.60s,"[placed] Universfield Cinematic Low Hit, trimmed to 1.40s. Lands on the number, then the 2.5s hold after it stays clean. Impact 2 of 2"
00:02:46:15,166.60,K24,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A236 · 2025 school front group photo,ಇದೆಲ್ಲ ಕಚೇರಿಯಲ್ಲಿ ಕುಳಿತು ಆಗುವ ಕೆಲಸವಲ್ಲ.,Percussion out. Thins to a single bansuri line,2,-26,out 1.0s,,,,,
00:02:49:20,169.80,K25,3 · ಒಂದು ದಶಕದ ಹಾದಿ · ten years of showing up,PHOTO A228 · 2025 government primary school sign,"ಮುಖ್ಯೋಪಾಧ್ಯಾಯರೋ, ನೆರೆಹೊರೆಯವರೋ, ಊರಿನ ಹಿತೈಷಿಯೋ ಒಂದು ಹೆಸರು ಸೂಚಿಸುತ್ತಾರೆ.","One line only, unhurried, into the method section",2,-26,-,,,,,
00:02:56:07,176.28,K26,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTO A025-crop · scholarship interview with girl and guardian,"ತಂಡ ಆ ಊರಿಗೆ ಹೋಗುತ್ತದೆ. ಮಕ್ಕಳನ್ನೂ ಪೋಷಕರನ್ನೂ ಒಂದೆಡೆ ಸೇರಿಸಿ, ಪ್ರತಿ ಕುಟುಂಬದ ಜೊತೆ ಕೂತು ಮಾತನಾಡುತ್ತದೆ.","ACT 4. Rhythmic movement gone. Warm cello, quiet piano, soft drone",2,-26,-,,,,,1.0s pause written into this shot
00:02:56:07,176.28,K26,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTO A025-crop · scholarship interview with girl and guardian,"ತಂಡ ಆ ಊರಿಗೆ ಹೋಗುತ್ತದೆ. ಮಕ್ಕಳನ್ನೂ ಪೋಷಕರನ್ನೂ ಒಂದೆಡೆ ಸೇರಿಸಿ, ಪ್ರತಿ ಕುಟುಂಬದ ಜೊತೆ ಕೂತು ಮಾತನಾಡುತ್ತದೆ.",,,,,Insects and birds under act 4,https://pixabay.com/sound-effects/nature-insects-birds-field-596099/,-17,in 3.00s / out 3.00s,"[placed] Method and care. Excerpt taken from 100s, clear of the 89-97s stretch where the speech band rises; modulation there is 0.05-0.10, which is tonal insects rather than syllables, but the excerpt avoids it anyway"
00:03:05:07,185.28,K27,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",CARD GFX-05 · ಶಾಲಾ ಶುಲ್ಕದ ಶೇಕಡ 75ರವರೆಗೆ // ನೇರವಾಗಿ ಶಾಲೆಗೆ,ನಂತರ ಟ್ರಸ್ಟ್ ಶಾಲಾ ಶುಲ್ಕದ ಶೇಕಡ ಎಪ್ಪತ್ತೈದರಷ್ಟನ್ನು ಭರಿಸುತ್ತದೆ. ಪೂರ್ತಿ ಅಲ್ಲ.,MUSIC OUT COMPLETELY under ಪೂರ್ತಿ ಅಲ್ಲ. Drone alone returns on the 2s pause,0,"silent, then -30","out complete by 185.28s, in 3.0s on the pause",,,,,music out completely under ಪೂರ್ತಿ ಅಲ್ಲ.
00:03:13:05,193.20,K28,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTO A222 · 2025 classroom full of beneficiary families,ಉಳಿದ ಪಾಲನ್ನು ಕುಟುಂಬವೇ ಕಟ್ಟುತ್ತದೆ. ಏಕೆಂದರೆ ತಾವೂ ಒಂದು ಪಾಲು ಹೊತ್ತ ಪೋಷಕರು ಮಗುವಿನ ಓದಿನ ಒಳಗೇ ಉಳಿಯುತ್ತಾರೆ.,Drone only under the family's share,1,-28,-,,,,,
00:03:13:10,193.40,K28,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",PHOTO A222 · 2025 classroom full of beneficiary families,ಉಳಿದ ಪಾಲನ್ನು ಕುಟುಂಬವೇ ಕಟ್ಟುತ್ತದೆ. ಏಕೆಂದರೆ ತಾವೂ ಒಂದು ಪಾಲು ಹೊತ್ತ ಪೋಷಕರು ಮಗುವಿನ ಓದಿನ ಒಳಗೇ ಉಳಿಯುತ್ತಾರೆ.,,,,,One soft windy landing on the act 4 turn,https://pixabay.com/sound-effects/hit-windy-thud-399086/,-17,in 0.10s / out 1.20s,"[placed] Act 4 opens by removing the percussion, so the turn gets one landing and nothing else"
00:03:21:05,201.20,K29,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",CARD GFX-06 · ನೇರವಾಗಿ ಶಾಲೆಗೆ. ಬೇರೆ ಯಾರ ಕೈಗೂ ಅಲ್ಲ.,ಮತ್ತು ಆ ಹಣ ನೇರವಾಗಿ ಶಾಲೆಗೇ ಸಲ್ಲುತ್ತದೆ. ಬೇರೆ ಯಾರ ಕೈಗೂ ಅಲ್ಲ.,"Bansuri returns softly. ONE low tonal emphasis, cello or bansuri tonic, under ಬೇರೆ ಯಾರ ಕೈಗೂ ಅಲ್ಲ. Score event, not an effect",2,-26,in 1.0s,,,,,
00:03:21:10,201.40,K29,"4 · ಕೆಲಸದ ಕ್ರಮ · method, care and community",CARD GFX-06 · ನೇರವಾಗಿ ಶಾಲೆಗೆ. ಬೇರೆ ಯಾರ ಕೈಗೂ ಅಲ್ಲ.,ಮತ್ತು ಆ ಹಣ ನೇರವಾಗಿ ಶಾಲೆಗೇ ಸಲ್ಲುತ್ತದೆ. ಬೇರೆ ಯಾರ ಕೈಗೂ ಅಲ್ಲ.,,,,,Soft landing on the card reveal,https://pixabay.com/sound-effects/electronic-impact-soft-10019/,-16,in 0.02s / out 0.80s,[placed] Chosen over the low hit so that the film's two impacts stay its only two
