cue_key,kind,status,asset_title,uploader,pixabay_page_url,download_date,licence_status_on_download_date,licence_evidence_file,edit_file_name,shot,timecode_in,offset_s,excerpt_in_s,duration_s,level_db_rel_narration,gain_db_applied,solo_dbfs,window_s,fade_in_s,fade_out_s,approved_by,notes
k05-riser,accent,PLACED,dreamy cinematic riser,black_kumizhi,https://pixabay.com/sound-effects/dreamy-cinematic-riser-523158/,2026-09-09,NOT CAPTURED,NOT CAPTURED,black_kumizhi-dreamy-cinematic-riser-523158.mp3,K05,00:00:28:02,0.10,7.10,2.20,-13,0,,,0.60,0.40,,"Warm tonal riser resolving into the wordmark reveal at K05 +0.6s | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k05-impact,accent,PLACED,cinematic low hit,universfield,https://pixabay.com/sound-effects/cinematic-low-hit-291095/,2026-09-09,Free for use under the Pixabay Content License,tools/sfx/licence-evidence/impact-licence-evidence.jpg,universfield-cinematic-low-hit-291095.mp3,K05,00:00:29:15,1.60,0,1.60,-14,0,,,0.02,0.70,,"Soft low impact on the 2016 ರಿಂದ 2026 line. Lands rather than booms | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k07-whoosh,accent,PLACED,gentle amp echoing whoosh sound effect,lesiakower,https://pixabay.com/sound-effects/gentle-amp-echoing-whoosh-sound-effect-451056/,2026-09-09,NOT CAPTURED,NOT CAPTURED,lesiakower-gentle-amp-echoing-whoosh-sound-effect-451056.mp3,K07,00:00:39:03,0.15,0,2.60,-14,0,,,0,0.80,,"ACT 2. Gold rule on the organisation card. Whoosh 1 of 3 | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k11-page,accent,PLACED,turn a page,creatorshome,https://pixabay.com/sound-effects/turn-a-page-336933/,2026-09-09,NOT CAPTURED,NOT CAPTURED,creatorshome-turn-a-page-336933.mp3,K11,00:01:10:12,0.15,0,whole file,-13,0,,,0,0,,"2016 first school visit. One dry page turn, the archive beat | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k15-whoosh,accent,PLACED,gentle amp echoing whoosh sound effect,lesiakower,https://pixabay.com/sound-effects/gentle-amp-echoing-whoosh-sound-effect-451056/,2026-09-09,NOT CAPTURED,NOT CAPTURED,lesiakower-gentle-amp-echoing-whoosh-sound-effect-451056.mp3,K15,00:01:39:21,7.80,0,2.00,-18,0,-23,,0.20,0.80,,"ACT 3 transition, into the 2s pause across the thin years. Whoosh 2 of 3 | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k17-rustle,accent,PLACED,Paper rustle,spinopel,https://pixabay.com/sound-effects/film-special-effects-paper-rustle-345748/,2026-09-09,Free for use under the Pixabay Content Licence,sfx/licence-evidence/K17_paper-rustle-single-sheet_licence.jpg,spinopel-paper-rustle-345748.mp3,K17,00:01:48:03,0.30,4.20,2.60,-14,0,,,0.30,1.00,,"The one-page COVID announcement. Shopping list item 1 of 3 on the reinstated list | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k18-book,accent,PLACED,turn a page,creatorshome,https://pixabay.com/sound-effects/turn-a-page-336933/,2026-09-09,NOT CAPTURED,NOT CAPTURED,creatorshome-turn-a-page-336933.mp3,K18,00:02:01:10,0.40,0,whole file,-15,0,,,0,0,,"Library shelves. Page used as the book proxy until a book file is auditioned | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k21-riser,accent,PLACED,riser hit sfx 001,audiopapkin,https://pixabay.com/sound-effects/riser-hit-sfx-001-289802/,2026-09-09,NOT CAPTURED,NOT CAPTURED,audiopapkin-riser-hit-sfx-001-289802.mp3,K21,00:02:25:15,5.60,0,2.80,-15,0,,,0.50,0.60,,"ACT 3 lift into the MM Hills reveal. The riser-plus-hit the shopping list said to audition. Kept under the whoosh family so it reads as a swell, not a trailer cue | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k22-zip,accent,PLACED,backpack,freesound_community,https://pixabay.com/sound-effects/backpack-34942/,2026-09-09,NOT CAPTURED,NOT CAPTURED,freesound_community-backpack-34942.mp3,K22,00:02:28:22,0.40,3.20,2.00,-13,0,,,0.10,0.60,,"Two hundred school bags at MM Hills | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k23-impact,accent,PLACED,cinematic low hit,universfield,https://pixabay.com/sound-effects/cinematic-low-hit-291095/,2026-09-09,Free for use under the Pixabay Content License,tools/sfx/licence-evidence/impact-licence-evidence.jpg,universfield-cinematic-low-hit-291095.mp3,K23,00:02:43:09,3.80,0,1.40,-13,0,,,0.02,0.60,,"Soft low land under ಮುನ್ನೂರು, then the 2.5s hold stays clean | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k28-thud,accent,PLACED,Hit Windy Thud,SoundReality,https://pixabay.com/sound-effects/film-special-effects-hit-windy-thud-399086/,2026-09-09,Free for use under the Pixabay Content Licence,sfx/licence-evidence/K05-K23_low-tonal-hit_licence.jpg,soundreality-hit-windy-thud-399086.mp3,K28,00:03:13:10,0.20,0.60,2.40,-17,0,,,0.10,1.20,,"ACT 4 turn. Act 4 opens by removing the percussion, so the turn gets one soft windy landing and nothing else | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k29-card,accent,PLACED,Electronic Impact (Soft),EdR,https://pixabay.com/sound-effects/film-special-effects-electronic-impact-soft-10019/,2026-09-09,Free for use under the Pixabay Content Licence,sfx/licence-evidence/K05-K23_deep-soft-impact_licence.jpg,edr-electronic-impact-soft-10019.mp3,K29,00:03:21:10,0.20,0.30,1.60,-16,0,,,0.02,0.80,,"Soft landing on the card reveal. Chosen over the low hit so the two impacts stay the film's only two | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k30-swell,accent,PLACED,riser wildfire,soundreality,https://pixabay.com/sound-effects/riser-wildfire-285209/,2026-09-09,NOT CAPTURED,NOT CAPTURED,soundreality-riser-wildfire-285209.mp3,K30,00:03:32:17,6.20,3.00,3.00,-20,0,,,1.20,1.40,,"Low swell under the field work. 11 rejected this file as the wrong register at full level; at -23 and cut from its tail it reads as air, not fire. First to cut if it announces itself | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k35-whoosh,accent,PLACED,gentle amp echoing whoosh sound effect,lesiakower,https://pixabay.com/sound-effects/gentle-amp-echoing-whoosh-sound-effect-451056/,2026-09-09,NOT CAPTURED,NOT CAPTURED,lesiakower-gentle-amp-echoing-whoosh-sound-effect-451056.mp3,K35,00:04:10:15,0.15,0,2.60,-15,0,,,0,0.80,,"ACT 4. Partners card reveal. Whoosh 3 of 3, lower than K07 | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k36-page,accent,PLACED,turn a page,creatorshome,https://pixabay.com/sound-effects/turn-a-page-336933/,2026-09-09,NOT CAPTURED,NOT CAPTURED,creatorshome-turn-a-page-336933.mp3,K36,00:04:18:22,0.30,0,whole file,-14,0,,,0,0,,"Udayavani clipping, 19 June 2024. One page turn | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k41-riser,accent,PLACED,dreamy cinematic riser,black_kumizhi,https://pixabay.com/sound-effects/dreamy-cinematic-riser-523158/,2026-09-09,NOT CAPTURED,NOT CAPTURED,black_kumizhi-dreamy-cinematic-riser-523158.mp3,K41,00:05:09:07,0.00,2.00,1.80,-15,0,,,0.60,0.50,,"ACT 5. Understated lift into the future section | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k44-zip,accent,PLACED,BACKPACK ZIPPER SFX @MRSTOKES302,Mrstokes302,https://pixabay.com/sound-effects/film-special-effects-backpack-zipper-sfx-mrstokes302-585349/,2026-09-09,Free for use under the Pixabay Content Licence,sfx/licence-evidence/K44_school-bag-zip-single_licence.jpg,mrstokes302-backpack-zipper-sfx-mrstokes302-585349.mp3,K44,00:05:38:17,0.40,0.40,1.80,-14,0,,,0.10,0.70,,"The classroom of children with bags. Shopping list item 2 of 3 on the reinstated list. A different zip from k22 so the pair does not read as one sound twice | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
k46-applause,accent,PLACED,applause,vvqne,https://pixabay.com/sound-effects/applause-383901/,2026-09-09,NOT CAPTURED,NOT CAPTURED,vvqne-applause-383901.mp3,K46,00:05:51:12,0.60,2.40,5.20,-20,0,-26,,1.20,2.60,,"End card. 11 section 1 gives applause exactly one home in this film: under the end card, low, never under speech. This is it | licence must cover public event screening, YouTube monetised or not, social media and website embedding, worldwide, in perpetuity. `14` items 5.1 and 5.2"
