shot,lane,kind,tc_in,tc_out,duration,gen_length,fit,upload,source,consent,narration,onscreen,vo_audio,prompt,reject_for
K11,C,PHOTOCARD,00:01:10:08,00:01:14:08,4.00,5,trim to 4.00s,,assets/images/magazine-gallery/charu-talk.jpeg,"[C] BLOCKING - children seated with backs to camera, plus the founder",2016ರಲ್ಲಿ ಅವರು ಮೊದಲ ಶಾಲಾ ಭೇಟಿ ಮಾಡಿದರು.,2016 · ಚಿಕ್ಕಬಳ್ಳಾಪುರ  //  ಮೊದಲ ಶಾಲಾ ಭೇಟಿ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K11.mp3,"Static shot of an empty rural classroom. A green blackboard with faded chalk dust, wooden benches in rows, light falling in from an open doorway. Dust in the air. The camera holds still. No people, and no writing on the board.",
K12,B-card,CARD,00:01:14:08,00:01:20:12,6.12,,,tools/gfx/K12*.png,One child card,n/a - graphics only,ಚಿಕ್ಕಬಳ್ಳಾಪುರ. ಒಂದು ಮಗು. ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ.,ಒಂದು ಮಗು.  //  ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ.,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K12.mp3,,Rendered by tools/gfx.py through headless Chrome. Never through a generative model.
K13,C,PHOTO,00:01:20:12,00:01:26:00,5.52,10,trim to 5.52s,,assets/images/timeline/children-with-steel-plates-and-glasses-distribution.jpeg,[C] BLOCKING - approx 25 identifiable children at a meal,ಅದೇ ಭೇಟಿಯಲ್ಲಿ ನೂರೈವತ್ತು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಸ್ಟೀಲ್ ತಟ್ಟೆ ಮತ್ತು ಲೋಟ ವಿತರಿಸಲಾಯಿತು.,150 ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಸ್ಟೀಲ್ ತಟ್ಟೆ ಮತ್ತು ಲೋಟ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K13.mp3,"Slow lateral drift along a long row of stacked steel plates and steel tumblers set out on a school floor. Daylight from high windows. No people, no hands, nothing is picked up.",
K14,C,PHOTO,00:01:26:00,00:01:32:02,6.08,10,trim to 6.08s,,assets/images/timeline/2017-scholarship-group-photo-on-school-veranda.jpg,[C] BLOCKING - approx 14 identifiable children and adults,2017ರಲ್ಲಿ ಒಂದು ಹತ್ತಾಯಿತು. ಹತ್ತು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ವಿದ್ಯಾರ್ಥಿವೇತನ.,2017 · 10 ವಿದ್ಯಾರ್ಥಿಗಳು,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K14.mp3,"Static shot of an empty school veranda, tiled roof, a row of plaster pillars, morning shadows laid across the floor in bands. The camera holds completely still. No people.",
K15,C,PHOTO,00:01:32:02,00:01:41:21,9.76,10,trim to 9.76s,,assets/images/timeline/2018-classroom-presentation-session.jpg,"[C] BLOCKING - adults identifiable, children in foreground from behind","ಆಮೇಲೆ ಕೆಲಸ ಹಾಗೇ ಮುಂದುವರಿಯಿತು. ವರ್ಷದಿಂದ ವರ್ಷಕ್ಕೆ. ಅದೇ ದಾರಿಗಳು, ಅದೇ ಶಾಲೆಗಳು, ಇನ್ನಷ್ಟು ಮಕ್ಕಳು.",ಕೆಲಸ ಮುಂದುವರಿಯಿತು,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K15.mp3,"Static shot of an empty classroom with hand-painted wall charts, holding for several seconds, then a slow dissolve to a static shot of an empty school courtyard with a bare flagpole. Flat overcast light in both. No people. No lettering on the charts.",
K16,C,PHOTO,00:01:41:21,00:01:47:21,6.00,5,"two takes, cut at about 4s (6.00s total)",,assets/images/timeline/2021-scholarship-distribution-crowd.jpg,"[C] BLOCKING - large crowd, many identifiable","2020ರಲ್ಲಿ ಶಾಲೆಗಳು ಮುಚ್ಚಿದವು, ಕುಟುಂಬಗಳ ದಿನಗೂಲಿ ನಿಂತಿತು.",,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K16.mp3,"Static shot of a padlocked metal school gate seen straight on, dust and dry leaves against the base, hard midday light. Nothing moves but a little dust. No people.",
K17,B,PHOTOCARD,00:01:47:21,00:02:00:24,13.16,,,"film.py, panel layout, static",assets/images/timeline/2020-pandemic-relief-announcement-poster.jpg,"CLEAR - LPET's own poster artwork, no person",ಆಗ ಟ್ರಸ್ಟ್ ಒಂದೇ ಪುಟದ ಪ್ರಕಟಣೆ ಹೊರಡಿಸಿತು. ಪೋಷಕರನ್ನು ಕಳೆದುಕೊಂಡ ಮಕ್ಕಳಿಗೆ. ಕೆಲಸ ಕಳೆದುಕೊಂಡು ಶುಲ್ಕ ಕಟ್ಟಲಾಗದ ಪೋಷಕರಿಗೆ. ನೆರವು ನಿಲ್ಲಲಿಲ್ಲ.,2020 · ಸಾಂಕ್ರಾಮಿಕ ಕಾಲದ ನೆರವು  //  ಪೋಷಕರನ್ನು ಕಳೆದುಕೊಂಡ ಮಕ್ಕಳಿಗೆ · ಕೆಲಸ ಕಳೆದುಕೊಂಡ ಪೋಷಕರಿಗೆ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K17.mp3,,"LPET's own 2020 relief poster beside a Kannada gloss strip. Two text blocks, one of them a document of record. The storyboard's rule for documents is no push at all."
K18,A,PHOTO,00:02:00:24,00:02:08:04,7.20,10,trim to 7.20s,tools/runway-plates/K18.png,assets/images/timeline/2022-library-bookshelves.jpg,CLEAR - no person in frame,2022ರಲ್ಲಿ ಪುಸ್ತಕದ ಕಪಾಟುಗಳು ಎದ್ದವು. ಗ್ರಾಮೀಣ ಶಾಲೆಗಳಲ್ಲಿ ಗ್ರಂಥಾಲಯಗಳು.,2022 · ಗ್ರಾಮೀಣ ಶಾಲೆಗಳಲ್ಲಿ ಗ್ರಂಥಾಲಯ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K18.mp3,"Locked-off documentary shot of a full library bookshelf in a rural school, books packed floor to ceiling. The camera pushes in very slowly and steadily, about four percent across the whole clip. Nothing else moves at all: no book shifts, no hand enters, no change of light. Warm indoor daylight, natural colour, no film grain, no stylisation.",Spine lettering. The model will reinvent every printed word on every spine. Reject any take where a spine's colour block moves or a book leans differently at the end than at the start. Keep the push under five percent: past that the reinvented type becomes readable as wrong.
K19,C,PHOTO,00:02:08:04,00:02:13:19,5.60,5,retime to 89.3% speed (5.60s from 5s),,assets/images/timeline/2022-students-in-school-library.jpg,"[C] - students browsing, almost all from behind","ದಾನವಾಗಿ ಬಂದ ಕಥೆ ಪುಸ್ತಕಗಳು, ಪಠ್ಯ ಪುಸ್ತಕಗಳು, ಬಳಸದೇ ಉಳಿದ ನೋಟ್‌ಬುಕ್‌ಗಳು.",,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K19.mp3,"Static shot of donated storybooks and exercise books stacked in uneven piles on a low wooden shelf. Soft indoor daylight, shallow depth of field. No people, no hands, no readable print.",
K20,C,PHOTO,00:02:13:19,00:02:20:01,6.24,10,trim to 6.24s,,assets/images/timeline/2023-students-in-tribal-school-hall.jpg,[C] BLOCKING - approx 30 identifiable children,2023ರಲ್ಲಿ ವ್ಯಾಪ್ತಿ ಹಿಗ್ಗಿತು. ಮೈಸೂರು. ಎಚ್.ಡಿ. ಕೋಟೆ.,2023 · ಮೈಸೂರು · ಎಚ್.ಡಿ. ಕೋಟೆ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K20.mp3,"Static shot of the interior of a thatched-roof school hall, open at the sides, packed mud floor, dappled light coming through the roof. The camera holds still. No people.",
K21,B,PHOTO,00:02:20:01,00:02:28:12,8.48,,,"film.py, 3% push toward the chart",assets/images/timeline/2023-school-event-backdrop-photo.jpg,"ADULTS ONLY - four volunteers, no children",ಒಂಬತ್ತು ಮತ್ತು ಹತ್ತನೇ ತರಗತಿಯ ಮಕ್ಕಳಿಗೆ ವೃತ್ತಿ ಮಾರ್ಗದರ್ಶನ. ಬದುಕಿನ ದಾರಿ ಸದ್ದಿಲ್ಲದೆ ನಿರ್ಧಾರವಾಗುವ ವಯಸ್ಸು ಅದು.,9 ಮತ್ತು 10ನೇ ತರಗತಿಗೆ ವೃತ್ತಿ ಮಾರ್ಗದರ್ಶನ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K21.mp3,,"Two reasons, either sufficient. The subject is LPET's own printed career guidance chart, which is text. And the four people in frame are named volunteers whose faces a generative pass would redraw."
K22,A,PHOTO,00:02:28:12,00:02:39:13,11.04,10,retime to 90.6% speed (11.04s from 10s),tools/runway-plates/K22.png,assets/images/timeline/2024-car-trunk-filled-with-books-and-supplies.jpg,CLEAR - no person in frame,"2024ರಲ್ಲಿ ಎಂ.ಎಂ. ಹಿಲ್ಸ್‌ನ ಬುಡಕಟ್ಟು ಶಾಲೆಗಳಲ್ಲಿ ಇನ್ನೂರು ಶಾಲಾ ಚೀಲ, ನೋಟ್‌ಬುಕ್ ಮತ್ತು ಲೇಖನ ಸಾಮಗ್ರಿಗಳೊಂದಿಗೆ ಶೈಕ್ಷಣಿಕ ವರ್ಷ ಆರಂಭವಾಯಿತು.",2024 · ಎಂ.ಎಂ. ಹಿಲ್ಸ್ · 200 ಶಾಲಾ ಚೀಲ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K22.mp3,"Static high-angle documentary shot looking down into the open boot of a car packed with stacked school notebooks and textbooks. The camera holds completely still for the first two seconds, then begins an extremely slow push in, about three percent. The stacks stay exactly as they are. Overcast daylight. No people, no hands, nothing enters the frame.","Stack collapse. The model likes to settle a leaning pile. Reject any take where a stack slumps, slides or gains a book. Cover art on the notebooks will be redrawn; that is acceptable here because none of it is meant to be read, unlike the shelves in K18."
K23,C,PHOTO,00:02:39:13,00:02:46:15,7.06,10,trim to 7.06s,,assets/images/timeline/2025-children-with-volunteers-under-tree.jpg,[C] BLOCKING - approx 20 identifiable children and adults,"ಮತ್ತು 2025ರಲ್ಲಿ, ಎಚ್.ಡಿ. ಕೋಟೆಯಲ್ಲಿ, ಮುನ್ನೂರು.",2025 · ಎಚ್.ಡಿ. ಕೋಟೆ · 300 ಶಾಲಾ ಚೀಲ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K23.mp3,"Static shot of school bags set out in rows on bare ground under a large tamarind tree, dappled shade moving very slightly across them. A slow push toward the trunk of the tree. No people.",
K24,C,PHOTO,00:02:46:15,00:02:49:20,3.20,5,trim to 3.20s,,assets/images/timeline/2025-school-front-group-photo.jpg,"[C] BLOCKING - large group, faces small but identifiable",ಇದೆಲ್ಲ ಕಚೇರಿಯಲ್ಲಿ ಕುಳಿತು ಆಗುವ ಕೆಲಸವಲ್ಲ.,,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K24.mp3,"Static wide shot of a school forecourt from a distance: a low compound wall, dust, two large trees, a single-storey painted building behind. Late afternoon. The camera does not move. No people.",
K25,B,PHOTO,00:02:49:20,00:02:56:07,6.48,,,"film.py, static, held 1s longer than the English cut",assets/images/timeline/2025-government-primary-school-sign.jpg,CLEAR - no identifiable person in the 16:9 window,"ಮುಖ್ಯೋಪಾಧ್ಯಾಯರೋ, ನೆರೆಹೊರೆಯವರೋ, ಊರಿನ ಹಿತೈಷಿಯೋ ಒಂದು ಹೆಸರು ಸೂಚಿಸುತ್ತಾರೆ.",,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K25.mp3,,"The K01 board returning at a tighter focal length. The rhyme only works if it is visibly the same board, which is exactly what a generative pass cannot promise."
K26,A,PHOTO,00:02:56:07,00:03:05:07,9.00,10,trim to 9.00s,tools/runway-plates/K26.png,assets/images/children-stories/scholarship-interview-with-girl-and-guardian.jpeg,CLEAR after crop - the hands-and-form window excludes every face,"ತಂಡ ಆ ಊರಿಗೆ ಹೋಗುತ್ತದೆ. ಮಕ್ಕಳನ್ನೂ ಪೋಷಕರನ್ನೂ ಒಂದೆಡೆ ಸೇರಿಸಿ, ಪ್ರತಿ ಕುಟುಂಬದ ಜೊತೆ ಕೂತು ಮಾತನಾಡುತ್ತದೆ.",ಗುರುತಿಸುವುದು · ಪರಿಶೀಲಿಸುವುದು · ಒಳಗೊಳ್ಳುವುದು · ಬೆಳೆಸುವುದು,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K26.mp3,"Static documentary shot of a worn wooden school desk. Hands rest on a paper form, a pen held above it. Almost nothing moves: the smallest natural settle of a hand, a breath of cotton fabric at the edge of frame. The camera does not move at all. Indoor daylight from one side. No face is visible anywhere in the frame.","TWO HARD REJECTS. First, fingers: discard any take where a hand gains or loses a finger, or where a wrist bends the wrong way. Second, and this one is a rights failure and not a quality failure, a face. This crop exists to keep every face out of the frame because the full photograph is a private conversation about a family's money (`07` item 2.10). If the model reveals a head at the top edge, the take is dead. The handwriting on the form will reflow into nonsense; it is out of focus and unreadable in the plate, so that is tolerable."
K27,B-card,CARD,00:03:05:07,00:03:13:05,7.92,,,tools/gfx/K27*.png,75 per cent card,n/a - graphics only,ನಂತರ ಟ್ರಸ್ಟ್ ಶಾಲಾ ಶುಲ್ಕದ ಶೇಕಡ ಎಪ್ಪತ್ತೈದರಷ್ಟನ್ನು ಭರಿಸುತ್ತದೆ. ಪೂರ್ತಿ ಅಲ್ಲ.,ಶಾಲಾ ಶುಲ್ಕದ ಶೇಕಡ 75ರವರೆಗೆ  //  ನೇರವಾಗಿ ಶಾಲೆಗೆ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K27.mp3,,Rendered by tools/gfx.py through headless Chrome. Never through a generative model.
K28,C,PHOTO,00:03:13:05,00:03:21:05,8.00,10,trim to 8.00s,,assets/images/timeline/2025-classroom-full-of-beneficiary-families.jpg,"[C] BLOCKING - families, adults and children identifiable",ಉಳಿದ ಪಾಲನ್ನು ಕುಟುಂಬವೇ ಕಟ್ಟುತ್ತದೆ. ಏಕೆಂದರೆ ತಾವೂ ಒಂದು ಪಾಲು ಹೊತ್ತ ಪೋಷಕರು ಮಗುವಿನ ಓದಿನ ಒಳಗೇ ಉಳಿಯುತ್ತಾರೆ.,,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K28.mp3,"Static shot of a school classroom with plastic chairs arranged in rows facing a small table, empty, afternoon light through a window grille. A ceiling fan turns slowly. No people.",
K29,B-card,CARD,00:03:21:05,00:03:26:12,5.28,,,tools/gfx/K29*.png,Direct-to-school card,n/a - graphics only,ಮತ್ತು ಆ ಹಣ ನೇರವಾಗಿ ಶಾಲೆಗೇ ಸಲ್ಲುತ್ತದೆ. ಬೇರೆ ಯಾರ ಕೈಗೂ ಅಲ್ಲ.,ನೇರವಾಗಿ ಶಾಲೆಗೆ. ಬೇರೆ ಯಾರ ಕೈಗೂ ಅಲ್ಲ.,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K29.mp3,,Rendered by tools/gfx.py through headless Chrome. Never through a generative model.
K30,C,PHOTO,00:03:26:12,00:03:36:02,9.60,10,trim to 9.60s,,assets/images/timeline/2025-volunteer-tying-shoe-for-child.jpg,"[C] BLOCKING - one volunteer and one child, both identifiable","ಬುಡಕಟ್ಟು ಶಾಲೆಗಳ ಮಕ್ಕಳ ಜೊತೆ ತಂಡ ಕೆಲವು ದಿನ ಉಳಿಯುತ್ತದೆ. ಕಲಿಸುತ್ತದೆ, ಕಲಿಯುತ್ತದೆ. ಆಮೇಲೆ ಚೀಲಗಳು ಮಕ್ಕಳ ಕೈ ಸೇರುತ್ತವೆ.",,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K30.mp3,"Static close shot of hands only. An adult's hands fasten the buckle of a school bag that a child's hands are holding steady. The frame ends below both pairs of shoulders, so no face and no head is anywhere in shot. Natural indoor light, no camera movement.",
K31_t1,A,PHOTO,00:03:36:02,00:03:45:13,9.44,10,trim to 9.44s,tools/runway-plates/K31_t1.png,assets/images/timeline/2025-stationery-and-snacks-arranged.jpg,"CLEAR - no person, no brand in frame","ವಿದ್ಯಾರ್ಥಿವೇತನ ಒಂದರಿಂದಲೇ ಶಿಕ್ಷಣ ಪೂರ್ಣವಾಗುವುದಿಲ್ಲ. ಹಾಗಾಗಿ ಶಾಲಾ ಚೀಲ, ನೋಟ್‌ಬುಕ್, ಲೇಖನ ಸಾಮಗ್ರಿ, ಚಿತ್ರಕಲೆಯ ಪರಿಕರ.",ಶಾಲಾ ಸಾಮಗ್ರಿ ವಿತರಣೆ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K31.mp3,"Static shot of new school bags packed into the boot of a car. The camera holds still with a barely perceptible push in. Nothing moves. Daylight, no people.","Tile one of three. Generate all three, then rebuild the collage in the edit; film.py's collage layout cannot take moving tiles."
K31_t2,A,PHOTO,00:03:36:02,00:03:45:13,9.44,10,trim to 9.44s,tools/runway-plates/K31_t2.png,assets/images/timeline/2025-stationery-and-snacks-arranged.jpg,"CLEAR - no person, no brand in frame","ವಿದ್ಯಾರ್ಥಿವೇತನ ಒಂದರಿಂದಲೇ ಶಿಕ್ಷಣ ಪೂರ್ಣವಾಗುವುದಿಲ್ಲ. ಹಾಗಾಗಿ ಶಾಲಾ ಚೀಲ, ನೋಟ್‌ಬುಕ್, ಲೇಖನ ಸಾಮಗ್ರಿ, ಚಿತ್ರಕಲೆಯ ಪರಿಕರ.",ಶಾಲಾ ಸಾಮಗ್ರಿ ವಿತರಣೆ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K31.mp3,"Static overhead shot of pens, geometry boxes, crayons and exercise books laid out in rows on a floor. The camera holds still with a very slow, very small push in. No hand enters the frame. Even indoor daylight.","Tile two of three. Brand marks: this asset was chosen over two others precisely because it carries no commercial packaging (`06` rejects). If the model invents a logo, reject the take."
K31_t3,A,PHOTO,00:03:36:02,00:03:45:13,9.44,10,trim to 9.44s,tools/runway-plates/K31_t3.png,assets/images/timeline/2025-stationery-and-snacks-arranged.jpg,"CLEAR - no person, no brand in frame","ವಿದ್ಯಾರ್ಥಿವೇತನ ಒಂದರಿಂದಲೇ ಶಿಕ್ಷಣ ಪೂರ್ಣವಾಗುವುದಿಲ್ಲ. ಹಾಗಾಗಿ ಶಾಲಾ ಚೀಲ, ನೋಟ್‌ಬುಕ್, ಲೇಖನ ಸಾಮಗ್ರಿ, ಚಿತ್ರಕಲೆಯ ಪರಿಕರ.",ಶಾಲಾ ಸಾಮಗ್ರಿ ವಿತರಣೆ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K31.mp3,"Static shot looking down into a car boot filled with donated textbooks and notebooks in stacks. The camera holds still, then pushes in about three percent. Nothing shifts. Daylight, no people.",Tile three of three.
K32,C,PHOTOCARD,00:03:45:13,00:03:54:18,9.20,10,trim to 9.20s,,assets/images/magazine-gallery/kids-craft.jpeg,[C] BLOCKING - approx 8 identifiable children,"ಗ್ರಂಥಾಲಯಗಳು. ವೃತ್ತಿ ಮಾರ್ಗದರ್ಶನ. ಆಟಗಳು. ಮಕ್ಕಳು ಹಾಡಿ ಕುಣಿಯುವ ವೇದಿಕೆ, ಮತ್ತು ಅದನ್ನು ನೋಡಲೆಂದೇ ಬಂದ ಜನ.",ಕಲಿಕೆಯ ಆಟಗಳು · ನಾಡು ನುಡಿಯ ಪರಿಚಯ · ಗ್ರಾಮೀಣ ಶಾಲೆಗಳಲ್ಲಿ ಗ್ರಂಥಾಲಯ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K32.mp3,"Static overhead shot of a classroom floor mid-craft: coloured paper, blunt scissors, a glue stick and small folded paper shapes scattered on a mat. The camera holds still. No people, no hands in frame.",
K33,C,PHOTO,00:03:54:18,00:03:57:23,3.20,5,trim to 3.20s,,assets/images/timeline/2025-large-community-celebration-group-photo.jpg,"[C] BLOCKING - large hall, many identifiable","ಮಕ್ಕಳಿಗೆ ಮಾತ್ರವಲ್ಲ, ಪೋಷಕರಿಗೂ ಮಾರ್ಗದರ್ಶನ.",ಪೋಷಕರಿಗೆ ಮಾರ್ಗದರ್ಶನ,tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K33.mp3,"Static wide shot of an empty school hall with a low stage, a plain curtain backdrop and rows of plastic chairs. Side light through open doors. Ceiling fans still. No people.",
K34,B-card,CARD,00:03:57:23,00:04:10:11,12.52,,,tools/gfx/K34*.png,Hardest to reach card,n/a - graphics only,ತಲುಪುವುದೇ ಕಷ್ಟವಾದ ಮಕ್ಕಳನ್ನೂ ಈ ಕೆಲಸ ತಲುಪಿದೆ. ಏಕ ಪೋಷಕರ ಮಕ್ಕಳು. ಎಚ್‌ಐವಿ ಇರುವ ಕುಟುಂಬಗಳ ಮಕ್ಕಳು. ದೀರ್ಘಕಾಲದ ಆರೋಗ್ಯ ಸಮಸ್ಯೆ ಇರುವ ಮಕ್ಕಳು.,(no list on screen under this line),tools/vo_eleven/EXAVITQu4vr4xnSDxMaL/K34.mp3,,Rendered by tools/gfx.py through headless Chrome. Never through a generative model.
