year,milestone,impact_number,impact_unit,location,source_path,status,conflict_group,notes
2024,Support extended to HIV-affected children,,,H.D. Kote,data/milestones.ts,VERIFIED,,Delivered with Belaku Trust and Soukhya Samrudhi Samsthe.
2024,"Scholarships distributed to children of single parents with Belaku Trust, covered by Udayavani on 19 June 2024",,,"Muttalapete, Mulbagal",assets/images/timeline/2024-newspaper-coverage-clipping.jpg,VERIFIED,,Only independent third-party verification in the repository.
2025,"School bags, notebooks and stationery to tribal children with Nisarga Foundation",300,school bags,H.D. Kote,data/milestones.ts; public/magazine/template-06.html,VERIFIED,,Strongest single number in the film.
2025,Scholarship interviews conducted,,,"KGF, Kolar",data/milestones.ts,VERIFIED,,
2025,Supplies distributed to HIV-affected children and children with other chronic health conditions,,,Kolar area,data/milestones.ts,VERIFIED,,Never name a child's health status alongside an identifiable face.
2025,Students received scholarships at DMS Jnana Kuteera School,20,students,Pandavapura,data/milestones.ts,VERIFIED,,
2025,Bharat Shiksha Ratan Award received by the Founder at the National Summit,,,New Delhi,assets/images/awards/bharat-shiksha-ratan-award-certificate-scan.jpeg; data/websiteContent.ts,VERIFIED,,19 December 2025. Certificate scan confirms every field.
2025,Selected from 25 national awardees,25,awardees,New Delhi,data/websiteContent.ts; SOCIAL_MEDIA_CONTENT.md,NEEDS CONFIRMATION,AWARD-25,Not on the certificate.
2026,No milestone recorded,,,,data/milestones.ts,NEEDS CONFIRMATION,YEAR-2026,The film celebrates 2016 to 2026 but the timeline stops at 2025. Six WhatsApp photographs dated 8 April 2026 exist without context.
2026,"Planned: bring all children under LPET care to Bengaluru for the anniversary, a one-day tour and gifts, a first city visit for many",,,Bengaluru,components/pages/WebpageContentPage.tsx; components/pages/DonorInviteContentPage.tsx,VERIFIED,,"A plan, not an achievement. Narrate in future tense only."
cumulative,Students supported,1000,"students, plus",across programme areas,data/stats.ts; public/magazine/template-06.html,NEEDS CONFIRMATION,STUDENTS,CONFLICT. Do not use.
cumulative,Students supported,500,"students, plus",across programme areas,components/sections/Hero.tsx; CLIENT_FEEDBACK_STATUS.md,NEEDS CONFIRMATION,STUDENTS,CONFLICT. Do not use.
cumulative,Students supported,550,"students, plus",across programme areas,PROJECT_SUMMARY.md,EXCLUDE,STUDENTS,"Stale build note, superseded."
cumulative,Villages reached,150,"villages, plus",,data/stats.ts; public/magazine/template-06.html,NEEDS CONFIRMATION,GEOGRAPHY,CONFLICT with the schools figure below.
cumulative,Schools reached,150,"schools, plus",,CLIENT_FEEDBACK_STATUS.md,NEEDS CONFIRMATION,GEOGRAPHY,"Same number, different unit. One of the two is a transcription error."
cumulative,Districts reached,10,"districts, plus",India,data/stats.ts; public/magazine/template-06.html,NEEDS CONFIRMATION,DISTRICTS,CONFLICT. Only 9 distinct places appear in the whole timeline.
cumulative,Districts reached,5,"districts, plus",Karnataka,components/sections/Hero.tsx,NEEDS CONFIRMATION,DISTRICTS,CONFLICT. Also narrows scope to Karnataka against an 'across India' mission line.
cumulative,Locations reached,8,"locations, plus",,PROJECT_SUMMARY.md,EXCLUDE,DISTRICTS,Stale.
cumulative,School bags distributed,500,"bags, plus",,PROJECT_SUMMARY.md,EXCLUDE,BAGS,Stale. The only defensible bag figures are 200 in 2024 and 300 in 2025.
cumulative,Years of impact,10,years,,data/stats.ts; components/sections/Hero.tsx,VERIFIED,,Depends on resolving the 2012 versus 2016 founding-year question.
cumulative,Share of tuition fees covered,75,"percent, up to",,data/websiteContent.ts,VERIFIED,,"Safe, distinctive, and explains the model in one number."
cumulative,Named donors and supporter organisations listed,110,"names, approximately","India, USA, UK, Germany, Denmark, Dubai, Abu Dhabi, Hong Kong",data/websiteContent.ts,NEEDS CONFIRMATION,DONORS,Contains near-duplicate spellings. Count only after de-duplication.
cumulative,Named testimonials on record,28,testimonials,,data/websiteContent.ts; public/magazine/testimany with pic.docx,VERIFIED,,Traceable to a source document with an extraction manifest.
