timecode,seconds,shot,act,photograph,heading_en,heading_kn,vo_en,vo_kn,sfx_kind,sfx_cue,sfx_level_db_rel_narration,sfx_fade,consent,notes
00:02:25:00,145.00,S16,3 · A decade of showing up,2023-mysore-hd-kote-tribal-school-hall__K20-enhanced.png,2023 · Mysuru · H.D. Kote,2023 · ಮೈಸೂರು · ಎಚ್.ಡಿ. ಕೋಟೆ,The same year the map widened. Mysore. H.D. Kote. And the tribal schools beyond them.,ಅದೇ ವರ್ಷ ವ್ಯಾಪ್ತಿ ಹಿಗ್ಗಿತು. ಮೈಸೂರು. ಎಚ್.ಡಿ. ಕೋಟೆ. ಮತ್ತು ಅಲ್ಲಿನ ಬುಡಕಟ್ಟು ಶಾಲೆಗಳು.,accent,audiopapkin-riser-hit-sfx-001-289802.mp3,-15,in 0.50s / out 0.60s,BLOCKING · approximately 45 identifiable children,"The swell into act 4 sits on the last 3s, under no narration."
00:02:34:00,154.00,S17,4 · The way the work is done,method-scholarship-interview-hands-form__K26-enhanced.png,Identify · Validate / Embrace · Incubate,ಗುರುತಿಸುವುದು · ಪರಿಶೀಲಿಸುವುದು / ಅಪ್ಪಿಕೊಳ್ಳುವುದು · ಬೆಳೆಸುವುದು,None of this happens from an office. A principal or a neighbour puts a name forward. The team drives out and sits with the family.,ಇದೆಲ್ಲ ಕಚೇರಿಯಲ್ಲಿ ಕುಳಿತು ಆಗುವುದಲ್ಲ. ಮುಖ್ಯೋಪಾಧ್ಯಾಯರೋ ನೆರೆಹೊರೆಯವರೋ ಒಂದು ಹೆಸರು ಹೇಳುತ್ತಾರೆ. ತಂಡ ಅಲ್ಲಿಗೆ ಹೋಗಿ ಕುಟುಂಬದ ಜೊತೆ ಕೂರುತ್ತದೆ.,bed,dbsound-insects-birds-field-596099.mp3,-17,in 3.00s / out 3.00s,BLOCKING · 2 identifiable children and 3 adults,The storyboard crops this to the hands and the form. Keep that crop: it removes the consent question and it is the better picture.
00:02:34:05,154.20,S17,4 · The way the work is done,,,,,,accent,soundreality-hit-windy-thud-399086.mp3,-17,in 0.10s / out 1.20s,,The act 4 turn gets one soft windy landing and nothing else.
00:02:46:00,166.00,S18,4 · The way the work is done,2025-volunteer-outdoor-activity-with-children__K30-enhanced.png,Up to 75% of the school fee / Paid directly to the school,ಶಾಲಾ ಶುಲ್ಕದ ಶೇ. 75ರವರೆಗೆ / ನೇರವಾಗಿ ಶಾಲೆಗೆ ಪಾವತಿ,The Trust covers up to seventy-five per cent of the school fee. Not all of it. The family carries the rest.,ಟ್ರಸ್ಟ್ ಶಾಲಾ ಶುಲ್ಕದ ಶೇಕಡಾ ಎಪ್ಪತ್ತೈದರಷ್ಟನ್ನು ಭರಿಸುತ್ತದೆ. ಪೂರ್ತಿ ಅಲ್ಲ. ಉಳಿದದ್ದನ್ನು ಕುಟುಂಬ ಹೊರುತ್ತದೆ.,silence,"carved room tone, 1.5 s",silent,in 0.00s / out 0.00s,BLOCKING · 2 identifiable children,"SILENCE CUE. Everything drops out under 'Not all of it'. No bed, no effect, room tone only, for 1.5s. The dignity rule: the 25 per cent the family pays is the point of the sentence."
00:02:56:00,176.00,S19,4 · The way the work is done,2025-stationery-and-snacks-arranged__K31-enhanced.png,What goes into one bag,ಒಂದು ಚೀಲದೊಳಗೆ ಏನಿರುತ್ತದೆ,"A scholarship on its own is not an education. So there are bags, notebooks, stationery and drawing kits.","ವಿದ್ಯಾರ್ಥಿವೇತನ ಒಂದೇ ಶಿಕ್ಷಣ ಆಗುವುದಿಲ್ಲ. ಹಾಗಾಗಿ ಚೀಲ, ನೋಟ್‌ಬುಕ್, ಲೇಖನ ಸಾಮಗ್ರಿ ಮತ್ತು ಚಿತ್ರಕಲೆ ಸಾಮಗ್ರಿಗಳೂ ಇವೆ.",accent,spinopel-paper-rustle-345748.mp3,-16,in 0.20s / out 0.80s,CLEAR · no identifiable person,NO FACES. Brand packaging is visible on the crayon and watercolour packs. Grade it down or crop past it: neighbouring assets were cut from the film for exactly this.
00:03:06:00,186.00,S20,4 · The way the work is done,2024-mm-hills-200-school-bags-car-trunk__K22-enhanced.png,2024 · M.M. Hills / 200 school bags,2024 · ಎಂ.ಎಂ. ಹಿಲ್ಸ್ / 200 ಶಾಲಾ ಚೀಲ,"In 2024 the Trust opened the school year at the tribal schools of M.M. Hills, with two hundred school bags, notebooks and stationery.","2024ರಲ್ಲಿ ಎಂ.ಎಂ. ಹಿಲ್ಸ್‌ನ ಬುಡಕಟ್ಟು ಶಾಲೆಗಳಲ್ಲಿ ಇನ್ನೂರು ಶಾಲಾ ಚೀಲ, ನೋಟ್‌ಬುಕ್ ಮತ್ತು ಲೇಖನ ಸಾಮಗ್ರಿಗಳಿಂದ ಶಾಲಾ ವರ್ಷ ಶುರುವಾಯಿತು.",accent,freesound_community-backpack-34942.mp3,-13,in 0.10s / out 0.60s,CLEAR · no identifiable person,"NO FACES. Portrait source, so crop to the boot opening and let the 200 numeral sit in the dark of the car body."
00:03:18:00,198.00,S21,4 · The way the work is done,2024-children-with-supplies-outdoors__K42-enhanced.png,Carried in by hand,ಕೈಯಲ್ಲೇ ಹೊತ್ತು ತಂದದ್ದು,Loaded into a car boot in the city. Carried in by hand.,"ನಗರದಲ್ಲಿ ಕಾರಿನ ಡಿಕ್ಕಿಯಲ್ಲಿ ತುಂಬಿ, ಕೈಯಲ್ಲೇ ಹೊತ್ತು ತಂದದ್ದು.",bed,ranjit_foley-indian-village-ambience-219221.mp3,-21,in 2.00s / out 2.00s,BLOCKING · approximately 30 identifiable children,"Short shot, deliberately. It is the answer to the car boot, not a beat of its own."
00:03:25:00,205.00,S22,5 · The widening circle,2025-hd-kote-300-school-bags-under-tree__K23-enhanced.png,2025 · H.D. Kote / 300 school bags,2025 · ಎಚ್.ಡಿ. ಕೋಟೆ / 300 ಶಾಲಾ ಚೀಲ,"And in 2025, in H.D. Kote, three hundred. This time with Nisarga Foundation beside us.","ಮತ್ತು 2025ರಲ್ಲಿ, ಎಚ್.ಡಿ. ಕೋಟೆಯಲ್ಲಿ, ಮುನ್ನೂರು. ಈ ಬಾರಿ ನಿಸರ್ಗ ಫೌಂಡೇಶನ್ ಜೊತೆಯಾಗಿ.",bed,tape-echo-spring-spring-is-coming_25sec-596343.mp3,-20,in 3.00s / out 3.00s,BLOCKING · approximately 8 identifiable children and 10 adults,"The film's high point. One soft low land on the number, then the remaining 3.5s stay clean. No swell on top of it."
00:03:31:07,211.30,S22,5 · The widening circle,,,,,,accent,universfield-cinematic-low-hit-291095.mp3,-13,in 0.02s / out 0.60s,,"Soft low land under 'three hundred', then the 3.5s hold after it stays clean. Impact 2 of 2, and the film's last impact."
00:03:35:00,215.00,S23,5 · The widening circle,2025-children-showing-school-bags-outdoors__K41-enhanced.png,A bag for every child,ಪ್ರತಿ ಮಗುವಿಗೂ ಒಂದು ಚೀಲ,"No stage. No handover photograph. Just a field, and a bag for every child.","ವೇದಿಕೆ ಇಲ್ಲ. ಹಸ್ತಾಂತರದ ಫೋಟೋ ಇಲ್ಲ. ಒಂದು ಬಯಲು, ಪ್ರತಿ ಮಗುವಿಗೂ ಒಂದು ಚೀಲ.",,,,,BLOCKING · approximately 30 identifiable children,Crop the animal out of the lower right corner.
00:03:43:00,223.00,S24,5 · The widening circle,2025-classroom-children-with-supplies__K44-K45-enhanced.png,The team stays a few days,ತಂಡ ಕೆಲವು ದಿನ ಉಳಿಯುತ್ತದೆ,"With the children at the tribal schools, the team stays a few days. They teach, they learn, and then the bags are handed over.",ಬುಡಕಟ್ಟು ಶಾಲೆಗಳ ಮಕ್ಕಳ ಜೊತೆ ತಂಡ ಕೆಲವು ದಿನ ಉಳಿಯುತ್ತದೆ. ಕಲಿಸುತ್ತದೆ. ಕಲಿಯುತ್ತದೆ. ಆಮೇಲೆ ಚೀಲಗಳು ಕೈ ಸೇರುತ್ತವೆ.,accent,mrstokes302-backpack-zipper-sfx-mrstokes302-585349.mp3,-14,in 0.10s / out 0.70s,BLOCKING · approximately 35 identifiable children. Consent critical,"A second zip, deliberately a different recording from S20, so the pair does not read as one sound used twice."
00:03:54:00,234.00,S25,5 · The widening circle,programs-kids-craft-learning-games__K32-enhanced.png,"Games, drawing, reading, / a stage of their own","ಆಟ, ಚಿತ್ರಕಲೆ, ಓದು, / ಅವರದೇ ಒಂದು ವೇದಿಕೆ","There are games, drawing, reading, and a stage on which children sing and dance.","ಆಟ, ಚಿತ್ರಕಲೆ, ಓದು, ಮತ್ತು ಮಕ್ಕಳು ಹಾಡಿ ಕುಣಿಯುವ ಒಂದು ವೇದಿಕೆ.",,,,,BLOCKING · 7 identifiable children,Portrait source. Crop to the row of raised hands.
00:04:02:00,242.00,S26,5 · The widening circle,2025-classroom-beneficiary-families__K28-enhanced.png,"In partnership with / Nisarga Foundation · Belaku Trust, Bangarpet / Soukhya Samrudhi Samsthe, Kolar / District Health and Family Welfare Department, Kolar","ಸಹಯೋಗದಲ್ಲಿ / ನಿಸರ್ಗ ಫೌಂಡೇಶನ್ · ಬೆಳಕು ಟ್ರಸ್ಟ್, ಬಂಗಾರಪೇಟೆ / ಸೌಖ್ಯ ಸಮೃದ್ಧಿ ಸಂಸ್ಥೆ, ಕೋಲಾರ / ಜಿಲ್ಲಾ ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ ಇಲಾಖೆ, ಕೋಲಾರ",And the work reaches children it would have been easier not to reach. Children of single parents. Children from HIV-affected families.,ತಲುಪಲು ಕಷ್ಟವಾದ ಮಕ್ಕಳನ್ನೂ ಈ ಕೆಲಸ ತಲುಪುತ್ತದೆ. ಒಂಟಿ ಪೋಷಕರ ಮಕ್ಕಳು. ಎಚ್.ಐ.ವಿ. ಬಾಧಿತ ಕುಟುಂಬಗಳ ಮಕ್ಕಳು.,accent,lesiakower-gentle-amp-echoing-whoosh-sound-effect-451056.mp3,-15,in 0.00s / out 0.80s,BLOCKING · approximately 60 identifiable people including children. A health-status claim is spoken over this frame,"TRUSTEE CONFIRMATION REQUIRED for permission to display each partner's name. Do not name any child over this frame, and do not let the narration line and any single face read as attached to each other: hold wide, no push."
00:04:13:00,253.00,S27,"6 · Gratitude, and the next ten",2025-volunteer-group-at-school-garden__K38-enhanced.png,The volunteers,ಸ್ವಯಂಸೇವಕರು,"The record that matters is a list of names. Volunteers who are advocates, engineers, counsellors, doctors and homemakers.","ಮುಖ್ಯವಾದ ದಾಖಲೆ ಒಂದು ಹೆಸರುಗಳ ಪಟ್ಟಿ. ವಕೀಲರು, ಇಂಜಿನಿಯರ್‌ಗಳು, ಆಪ್ತಸಮಾಲೋಚಕರು, ವೈದ್ಯರು, ಗೃಹಿಣಿಯರು: ಎಲ್ಲರೂ ಸ್ವಯಂಸೇವಕರು.",bed,gigidelaromusic-warm-pad-fragment-short-450964.mp3,-15,in 3.00s / out 4.50s,REVIEW · 14 identifiable adults and 2 young people,Act 6 opens. The warm pad comes in here and carries to the end card.
00:04:13:04,253.15,S27,"6 · Gratitude, and the next ten",,,,,,accent,lesiakower-gentle-amp-echoing-whoosh-sound-effect-451056.mp3,-18,in 0.00s / out 0.80s,,"Act 6 opens. Whoosh 3 of 3, the lowest of the three."
00:04:24:00,264.00,S28,"6 · Gratitude, and the next ten",2025-hall-volunteers-and-children__K39-enhanced.png,"The donors, the teachers, / the parents who paid their share","ದಾನಿಗಳು, ಶಿಕ್ಷಕರು, / ತಮ್ಮ ಪಾಲು ಕಟ್ಟಿದ ಪೋಷಕರು","Donors in Bengaluru and Chennai, in America, Britain, Germany, Denmark and Dubai. Teachers who picked up a phone about one child.","ಬೆಂಗಳೂರು, ಚೆನ್ನೈ, ಅಮೆರಿಕ, ಬ್ರಿಟನ್, ಜರ್ಮನಿ, ಡೆನ್ಮಾರ್ಕ್ ಮತ್ತು ದುಬೈನ ದಾನಿಗಳು. ಒಂದು ಮಗುವಿಗಾಗಿ ಫೋನ್ ಮಾಡಿದ ಶಿಕ್ಷಕರು.",,,,,BLOCKING · approximately 70 identifiable people including children,A third-party school name is legible on the banner. Clear it or crop it before picture lock.
00:04:34:00,274.00,S29,"6 · Gratitude, and the next ten",2025-school-front-group-photo__K24-enhanced.png,Udayavani · 19 June 2024 / Bharat Shiksha Ratan Award · 19 December 2025 · New Delhi / Economic and Social Development Foundation,ಉದಯವಾಣಿ · 19 ಜೂನ್ 2024 / ಭಾರತ ಶಿಕ್ಷಾ ರತ್ನ ಪ್ರಶಸ್ತಿ · 19 ಡಿಸೆಂಬರ್ 2025 · ನವದೆಹಲಿ / ಎಕನಾಮಿಕ್ ಅಂಡ್ ಸೋಶಿಯಲ್ ಡೆವಲಪ್‌ಮೆಂಟ್ ಫೌಂಡೇಶನ್,In June 2024 a Kannada daily carried the work from Mulbagal. In December 2025 the Founder received the Bharat Shiksha Ratan Award.,2024ರ ಜೂನ್‌ನಲ್ಲಿ ಕನ್ನಡ ಪತ್ರಿಕೆಯೊಂದು ಈ ಕೆಲಸವನ್ನು ವರದಿ ಮಾಡಿತು. ಮುಂದಿನ ವರ್ಷ ಸಂಸ್ಥಾಪಕಿಗೆ ಭಾರತ ಶಿಕ್ಷಾ ರತ್ನ ಪ್ರಶಸ್ತಿ ಸಂದಿತು.,accent,edr-electronic-impact-soft-10019.mp3,-18,in 0.02s / out 0.80s,BLOCKING · approximately 35 identifiable people including children,"NO FANFARE. The newspaper clipping and the certificate are both text-critical and deliberately absent from the enhanced pack, so the recognition is carried as text over a school, which is where the work actually happened. Do not name presenting ministers."
00:04:36:00,276.00,S29,"6 · Gratitude, and the next ten",,,,,,silence,"carved room tone, 11.0 s",silent,in 0.00s / out 0.00s,,"NO FANFARE under the award. One soft lift on the heading in the first 1.8s, then nothing builds for the rest of the shot. The voice keeps running. See 11 section 1."
