sid,scene,brief_scene,section,tc_in,tc_out,t_in,allotted_speech_s,pause_s,hold_s,words,characters,stability_band,similarity_boost,handle_ms,narration_kannada,sent_to_tts_after_year_rewrite,year_rewrites,numerals_left_for_human_check,zwnj,generates_variant,direction
K13,origin,origin,ಬಿ · ಆರಂಭದ ದಿನಗಳು,00:01:14:06,00:01:19:17,74.22,5.44,0,0,9,76,natural,0.78,500,ಅದೇ ಭೇಟಿಯಲ್ಲಿ ನೂರೈವತ್ತು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಸ್ಟೀಲ್ ತಟ್ಟೆ ಮತ್ತು ಲೋಟ ವಿತರಿಸಲಾಯಿತು.,(unchanged),,,0,yes,"Humble, respectful, historically grounded. K12 is three sentences and three full stops: ಚಿಕ್ಕಬಳ್ಳಾಪುರ. ಒಂದು ಮಗು. ಒಂದು ವಿದ್ಯಾರ್ಥಿವೇತನ. Read as a rising list, the voice is rejected regardless of total score."
K14,decade,timeline,ಸಿ · ಒಂದು ದಶಕದ ಹಾದಿ,00:01:19:17,00:01:25:15,79.66,5.92,0,0,6,63,robust,0.75,500,2017ರಲ್ಲಿ ಒಂದು ಹತ್ತಾಯಿತು. ಹತ್ತು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ವಿದ್ಯಾರ್ಥಿವೇತನ.,ಎರಡು ಸಾವಿರದ ಹದಿನೇಳರಲ್ಲಿ ಒಂದು ಹತ್ತಾಯಿತು. ಹತ್ತು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ವಿದ್ಯಾರ್ಥಿವೇತನ.,2017ರಲ್ಲಿ->ಎರಡು ಸಾವಿರದ ಹದಿನೇಳರಲ್ಲಿ,,0,no,"Clear, forward-moving, measured energy. This block carries most of the years, counts and place names in the film, so diction outranks warmth. Robust rather than natural for exactly that reason."
K15,decade,timeline,ಸಿ · ಒಂದು ದಶಕದ ಹಾದಿ,00:01:25:15,00:01:35:11,85.58,7.84,2,0,12,91,robust,0.75,500,"ಆಮೇಲೆ ಕೆಲಸ ಹಾಗೇ ಮುಂದುವರಿಯಿತು. ವರ್ಷದಿಂದ ವರ್ಷಕ್ಕೆ. ಅದೇ ದಾರಿಗಳು, ಅದೇ ಶಾಲೆಗಳು, ಇನ್ನಷ್ಟು ಮಕ್ಕಳು.",(unchanged),,,0,no,"Clear, forward-moving, measured energy. This block carries most of the years, counts and place names in the film, so diction outranks warmth. Robust rather than natural for exactly that reason."
K16,decade,timeline,ಸಿ · ಒಂದು ದಶಕದ ಹಾದಿ,00:01:35:11,00:01:40:08,95.42,4.88,0,0,6,54,robust,0.75,500,"2020ರಲ್ಲಿ ಶಾಲೆಗಳು ಮುಚ್ಚಿದವು, ಕುಟುಂಬಗಳ ದಿನಗೂಲಿ ನಿಂತಿತು.","ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತರಲ್ಲಿ ಶಾಲೆಗಳು ಮುಚ್ಚಿದವು, ಕುಟುಂಬಗಳ ದಿನಗೂಲಿ ನಿಂತಿತು.",2020ರಲ್ಲಿ->ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತರಲ್ಲಿ,,0,no,"Clear, forward-moving, measured energy. This block carries most of the years, counts and place names in the film, so diction outranks warmth. Robust rather than natural for exactly that reason."
K17,decade,timeline,ಸಿ · ಒಂದು ದಶಕದ ಹಾದಿ,00:01:40:08,00:01:52:20,100.3,11.52,1,0,16,128,robust,0.75,500,ಆಗ ಟ್ರಸ್ಟ್ ಒಂದೇ ಪುಟದ ಪ್ರಕಟಣೆ ಹೊರಡಿಸಿತು. ಪೋಷಕರನ್ನು ಕಳೆದುಕೊಂಡ ಮಕ್ಕಳಿಗೆ. ಕೆಲಸ ಕಳೆದುಕೊಂಡು ಶುಲ್ಕ ಕಟ್ಟಲಾಗದ ಪೋಷಕರಿಗೆ. ನೆರವು ನಿಲ್ಲಲಿಲ್ಲ.,(unchanged),,,0,no,"Clear, forward-moving, measured energy. This block carries most of the years, counts and place names in the film, so diction outranks warmth. Robust rather than natural for exactly that reason."
K18,decade,timeline,ಸಿ · ಒಂದು ದಶಕದ ಹಾದಿ,00:01:52:20,00:01:59:15,112.82,6.8,0,0,7,66,robust,0.75,500,2022ರಲ್ಲಿ ಪುಸ್ತಕದ ಕಪಾಟುಗಳು ಎದ್ದವು. ಗ್ರಾಮೀಣ ಶಾಲೆಗಳಲ್ಲಿ ಗ್ರಂಥಾಲಯಗಳು.,ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತೆರಡರಲ್ಲಿ ಪುಸ್ತಕದ ಕಪಾಟುಗಳು ಎದ್ದವು. ಗ್ರಾಮೀಣ ಶಾಲೆಗಳಲ್ಲಿ ಗ್ರಂಥಾಲಯಗಳು.,2022ರಲ್ಲಿ->ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತೆರಡರಲ್ಲಿ,,0,no,"Clear, forward-moving, measured energy. This block carries most of the years, counts and place names in the film, so diction outranks warmth. Robust rather than natural for exactly that reason."
K19,decade,timeline,ಸಿ · ಒಂದು ದಶಕದ ಹಾದಿ,00:01:59:15,00:02:04:22,119.61999999999999,5.28,0,0,9,68,robust,0.75,500,"ದಾನವಾಗಿ ಬಂದ ಕಥೆ ಪುಸ್ತಕಗಳು, ಪಠ್ಯ ಪುಸ್ತಕಗಳು, ಬಳಸದೇ ಉಳಿದ ನೋಟ್‌ಬುಕ್‌ಗಳು.",(unchanged),,,2,no,"Clear, forward-moving, measured energy. This block carries most of the years, counts and place names in the film, so diction outranks warmth. Robust rather than natural for exactly that reason."
K20,decade,timeline,ಸಿ · ಒಂದು ದಶಕದ ಹಾದಿ,00:02:04:22,00:02:10:22,124.89999999999999,6,0,0,6,50,robust,0.75,500,2023ರಲ್ಲಿ ವ್ಯಾಪ್ತಿ ಹಿಗ್ಗಿತು. ಮೈಸೂರು. ಎಚ್.ಡಿ. ಕೋಟೆ.,ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತಮೂರರಲ್ಲಿ ವ್ಯಾಪ್ತಿ ಹಿಗ್ಗಿತು. ಮೈಸೂರು. ಎಚ್.ಡಿ. ಕೋಟೆ.,2023ರಲ್ಲಿ->ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತಮೂರರಲ್ಲಿ,,0,no,"Clear, forward-moving, measured energy. This block carries most of the years, counts and place names in the film, so diction outranks warmth. Robust rather than natural for exactly that reason."
K21,decade,timeline,ಸಿ · ಒಂದು ದಶಕದ ಹಾದಿ,00:02:10:22,00:02:19:03,130.89999999999998,8.24,0,0,13,103,robust,0.75,500,ಒಂಬತ್ತು ಮತ್ತು ಹತ್ತನೇ ತರಗತಿಯ ಮಕ್ಕಳಿಗೆ ವೃತ್ತಿ ಮಾರ್ಗದರ್ಶನ. ಬದುಕಿನ ದಾರಿ ಸದ್ದಿಲ್ಲದೆ ನಿರ್ಧಾರವಾಗುವ ವಯಸ್ಸು ಅದು.,(unchanged),,,0,no,"Clear, forward-moving, measured energy. This block carries most of the years, counts and place names in the film, so diction outranks warmth. Robust rather than natural for exactly that reason."
K22,decade,timeline,ಸಿ · ಒಂದು ದಶಕದ ಹಾದಿ,00:02:19:03,00:02:30:00,139.14,10.88,0,0,15,126,robust,0.75,500,"2024ರಲ್ಲಿ ಎಂ.ಎಂ. ಹಿಲ್ಸ್‌ನ ಬುಡಕಟ್ಟು ಶಾಲೆಗಳಲ್ಲಿ ಇನ್ನೂರು ಶಾಲಾ ಚೀಲ, ನೋಟ್‌ಬುಕ್ ಮತ್ತು ಲೇಖನ ಸಾಮಗ್ರಿಗಳೊಂದಿಗೆ ಶೈಕ್ಷಣಿಕ ವರ್ಷ ಆರಂಭವಾಯಿತು.","ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತನಾಲ್ಕರಲ್ಲಿ ಎಂ.ಎಂ. ಹಿಲ್ಸ್‌ನ ಬುಡಕಟ್ಟು ಶಾಲೆಗಳಲ್ಲಿ ಇನ್ನೂರು ಶಾಲಾ ಚೀಲ, ನೋಟ್‌ಬುಕ್ ಮತ್ತು ಲೇಖನ ಸಾಮಗ್ರಿಗಳೊಂದಿಗೆ ಶೈಕ್ಷಣಿಕ ವರ್ಷ ಆರಂಭವಾಯಿತು.",2024ರಲ್ಲಿ->ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತನಾಲ್ಕರಲ್ಲಿ,,2,no,"Clear, forward-moving, measured energy. This block carries most of the years, counts and place names in the film, so diction outranks warmth. Robust rather than natural for exactly that reason."
K23,decade,timeline,ಸಿ · ಒಂದು ದಶಕದ ಹಾದಿ,00:02:30:00,00:02:37:00,150.01999999999998,4.48,0,2.5,5,45,robust,0.75,500,"ಮತ್ತು 2025ರಲ್ಲಿ, ಎಚ್.ಡಿ. ಕೋಟೆಯಲ್ಲಿ, ಮುನ್ನೂರು.","ಮತ್ತು ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತೈದರಲ್ಲಿ, ಎಚ್.ಡಿ. ಕೋಟೆಯಲ್ಲಿ, ಮುನ್ನೂರು.",2025ರಲ್ಲಿ->ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತೈದರಲ್ಲಿ,,0,no,"Clear, forward-moving, measured energy. This block carries most of the years, counts and place names in the film, so diction outranks warmth. Robust rather than natural for exactly that reason."
K24,method,method,ಡಿ · ಕೆಲಸದ ಕ್ರಮ,00:02:37:00,00:02:39:16,156.99999999999997,2.64,0,0,5,39,robust,0.75,500,ಇದೆಲ್ಲ ಕಚೇರಿಯಲ್ಲಿ ಕುಳಿತು ಆಗುವ ಕೆಲಸವಲ್ಲ.,(unchanged),,,0,yes,"Precise, trustworthy, calm. K27 is the film's turn: ಎಪ್ಪತ್ತೈದರಷ್ಟನ್ನು ಭರಿಸುತ್ತದೆ. ಪೂರ್ತಿ ಅಲ್ಲ. The second sentence must be level and quiet, never emphasised. Leave the silence around it in the edit; do not ask the voice to perform the pause."
K25,method,method,ಡಿ · ಕೆಲಸದ ಕ್ರಮ,00:02:39:16,00:02:44:13,159.63999999999996,4.88,0,0,7,69,robust,0.75,500,"ಮುಖ್ಯೋಪಾಧ್ಯಾಯರೋ, ನೆರೆಹೊರೆಯವರೋ, ಊರಿನ ಹಿತೈಷಿಯೋ ಒಂದು ಹೆಸರು ಸೂಚಿಸುತ್ತಾರೆ.",(unchanged),,,0,yes,"Precise, trustworthy, calm. K27 is the film's turn: ಎಪ್ಪತ್ತೈದರಷ್ಟನ್ನು ಭರಿಸುತ್ತದೆ. ಪೂರ್ತಿ ಅಲ್ಲ. The second sentence must be level and quiet, never emphasised. Leave the silence around it in the edit; do not ask the voice to perform the pause."
K26,method,method,ಡಿ · ಕೆಲಸದ ಕ್ರಮ,00:02:44:13,00:02:52:24,164.51999999999995,7.44,1,0,13,95,robust,0.75,500,"ತಂಡ ಆ ಊರಿಗೆ ಹೋಗುತ್ತದೆ. ಮಕ್ಕಳನ್ನೂ ಪೋಷಕರನ್ನೂ ಒಂದೆಡೆ ಸೇರಿಸಿ, ಪ್ರತಿ ಕುಟುಂಬದ ಜೊತೆ ಕೂತು ಮಾತನಾಡುತ್ತದೆ.",(unchanged),,,0,yes,"Precise, trustworthy, calm. K27 is the film's turn: ಎಪ್ಪತ್ತೈದರಷ್ಟನ್ನು ಭರಿಸುತ್ತದೆ. ಪೂರ್ತಿ ಅಲ್ಲ. The second sentence must be level and quiet, never emphasised. Leave the silence around it in the edit; do not ask the voice to perform the pause."
K27,method,method,ಡಿ · ಕೆಲಸದ ಕ್ರಮ,00:02:52:24,00:03:00:10,172.95999999999995,5.44,2,0,9,72,robust,0.75,500,ನಂತರ ಟ್ರಸ್ಟ್ ಶಾಲಾ ಶುಲ್ಕದ ಶೇಕಡ ಎಪ್ಪತ್ತೈದರಷ್ಟನ್ನು ಭರಿಸುತ್ತದೆ. ಪೂರ್ತಿ ಅಲ್ಲ.,(unchanged),,,0,yes,"Precise, trustworthy, calm. K27 is the film's turn: ಎಪ್ಪತ್ತೈದರಷ್ಟನ್ನು ಭರಿಸುತ್ತದೆ. ಪೂರ್ತಿ ಅಲ್ಲ. The second sentence must be level and quiet, never emphasised. Leave the silence around it in the edit; do not ask the voice to perform the pause."
K28,method,method,ಡಿ · ಕೆಲಸದ ಕ್ರಮ,00:03:00:10,00:03:08:00,180.39999999999995,7.6,0,0,14,99,robust,0.75,500,ಉಳಿದ ಪಾಲನ್ನು ಕುಟುಂಬವೇ ಕಟ್ಟುತ್ತದೆ. ಏಕೆಂದರೆ ತಾವೂ ಒಂದು ಪಾಲು ಹೊತ್ತ ಪೋಷಕರು ಮಗುವಿನ ಓದಿನ ಒಳಗೇ ಉಳಿಯುತ್ತಾರೆ.,(unchanged),,,0,yes,"Precise, trustworthy, calm. K27 is the film's turn: ಎಪ್ಪತ್ತೈದರಷ್ಟನ್ನು ಭರಿಸುತ್ತದೆ. ಪೂರ್ತಿ ಅಲ್ಲ. The second sentence must be level and quiet, never emphasised. Leave the silence around it in the edit; do not ask the voice to perform the pause."
K29,method,method,ಡಿ · ಕೆಲಸದ ಕ್ರಮ,00:03:08:00,00:03:12:24,187.99999999999994,4.96,0,0,10,57,robust,0.75,500,ಮತ್ತು ಆ ಹಣ ನೇರವಾಗಿ ಶಾಲೆಗೇ ಸಲ್ಲುತ್ತದೆ. ಬೇರೆ ಯಾರ ಕೈಗೂ ಅಲ್ಲ.,(unchanged),,,0,yes,"Precise, trustworthy, calm. K27 is the film's turn: ಎಪ್ಪತ್ತೈದರಷ್ಟನ್ನು ಭರಿಸುತ್ತದೆ. ಪೂರ್ತಿ ಅಲ್ಲ. The second sentence must be level and quiet, never emphasised. Leave the silence around it in the edit; do not ask the voice to perform the pause."
K30,method,method,ಡಿ · ಕೆಲಸದ ಕ್ರಮ,00:03:12:24,00:03:21:21,192.95999999999995,8.88,0,0,15,109,robust,0.75,500,"ಬುಡಕಟ್ಟು ಶಾಲೆಗಳ ಮಕ್ಕಳ ಜೊತೆ ತಂಡ ಕೆಲವು ದಿನ ಉಳಿಯುತ್ತದೆ. ಕಲಿಸುತ್ತದೆ, ಕಲಿಯುತ್ತದೆ. ಆಮೇಲೆ ಚೀಲಗಳು ಮಕ್ಕಳ ಕೈ ಸೇರುತ್ತವೆ.",(unchanged),,,0,yes,"Precise, trustworthy, calm. K27 is the film's turn: ಎಪ್ಪತ್ತೈದರಷ್ಟನ್ನು ಭರಿಸುತ್ತದೆ. ಪೂರ್ತಿ ಅಲ್ಲ. The second sentence must be level and quiet, never emphasised. Leave the silence around it in the edit; do not ask the voice to perform the pause."
K31,community,community,ಇ · ಸುತ್ತಲಿನ ಬೆಂಬಲ,00:03:21:21,00:03:31:03,201.83999999999995,9.28,0,0,12,108,natural,0.78,500,"ವಿದ್ಯಾರ್ಥಿವೇತನ ಒಂದರಿಂದಲೇ ಶಿಕ್ಷಣ ಪೂರ್ಣವಾಗುವುದಿಲ್ಲ. ಹಾಗಾಗಿ ಶಾಲಾ ಚೀಲ, ನೋಟ್‌ಬುಕ್, ಲೇಖನ ಸಾಮಗ್ರಿ, ಚಿತ್ರಕಲೆಯ ಪರಿಕರ.",(unchanged),,,1,no,"Warmer and appreciative, never celebratory or commercial. K34 names four groups of real children. Any tag or performance there turns them into a device. Leave it plain."
K32,community,community,ಇ · ಸುತ್ತಲಿನ ಬೆಂಬಲ,00:03:31:03,00:03:40:00,211.11999999999995,8.88,0,0,13,96,natural,0.78,500,"ಗ್ರಂಥಾಲಯಗಳು. ವೃತ್ತಿ ಮಾರ್ಗದರ್ಶನ. ಆಟಗಳು. ಮಕ್ಕಳು ಹಾಡಿ ಕುಣಿಯುವ ವೇದಿಕೆ, ಮತ್ತು ಅದನ್ನು ನೋಡಲೆಂದೇ ಬಂದ ಜನ.",(unchanged),,,0,no,"Warmer and appreciative, never celebratory or commercial. K34 names four groups of real children. Any tag or performance there turns them into a device. Leave it plain."
K33,community,community,ಇ · ಸುತ್ತಲಿನ ಬೆಂಬಲ,00:03:40:00,00:03:43:07,219.99999999999994,3.28,0,0,4,40,natural,0.78,500,"ಮಕ್ಕಳಿಗೆ ಮಾತ್ರವಲ್ಲ, ಪೋಷಕರಿಗೂ ಮಾರ್ಗದರ್ಶನ.",(unchanged),,,0,no,"Warmer and appreciative, never celebratory or commercial. K34 names four groups of real children. Any tag or performance there turns them into a device. Leave it plain."
K34,community,community,ಇ · ಸುತ್ತಲಿನ ಬೆಂಬಲ,00:03:43:07,00:03:56:03,223.27999999999994,11.84,1,0,18,127,natural,0.78,500,ತಲುಪುವುದೇ ಕಷ್ಟವಾದ ಮಕ್ಕಳನ್ನೂ ಈ ಕೆಲಸ ತಲುಪಿದೆ. ಏಕ ಪೋಷಕರ ಮಕ್ಕಳು. ಎಚ್‌ಐವಿ ಇರುವ ಕುಟುಂಬಗಳ ಮಕ್ಕಳು. ದೀರ್ಘಕಾಲದ ಆರೋಗ್ಯ ಸಮಸ್ಯೆ ಇರುವ ಮಕ್ಕಳು.,(unchanged),,,1,no,"Warmer and appreciative, never celebratory or commercial. K34 names four groups of real children. Any tag or performance there turns them into a device. Leave it plain."
K35,community,community,ಇ · ಸುತ್ತಲಿನ ಬೆಂಬಲ,00:03:56:03,00:04:04:05,236.11999999999995,8.08,0,0,15,103,natural,0.78,500,"ಈ ಕೆಲಸ ಬೆಳಕು ಟ್ರಸ್ಟ್, ಸೌಖ್ಯ ಸಮೃದ್ಧಿ ಸಂಸ್ಥೆ, ಜಿಲ್ಲಾ ಆರೋಗ್ಯ ಇಲಾಖೆ ಮತ್ತು ನಿಸರ್ಗ ಫೌಂಡೇಶನ್ ಜೊತೆಗೂಡಿ ನಡೆದಿದೆ.",(unchanged),,,0,no,"Warmer and appreciative, never celebratory or commercial. K34 names four groups of real children. Any tag or performance there turns them into a device. Leave it plain."
K36,gratitude,community,ಎಫ್ · ಗುರುತಿಸುವಿಕೆ ಮತ್ತು ಕೃತಜ್ಞತೆ,00:04:04:05,00:04:15:11,244.19999999999996,10.24,1,0,13,113,natural,0.78,500,2024ರ ಜೂನ್‌ನಲ್ಲಿ ಒಂದು ಕನ್ನಡ ದಿನಪತ್ರಿಕೆ ಮುಳಬಾಗಿಲಿನ ಚಿತ್ರವನ್ನು ಪ್ರಕಟಿಸಿತು. ಏಕ ಪೋಷಕರ ಮಕ್ಕಳಿಗೆ ವಿದ್ಯಾರ್ಥಿವೇತನ ವಿತರಣೆ.,ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತನಾಲ್ಕರ ಜೂನ್‌ನಲ್ಲಿ ಒಂದು ಕನ್ನಡ ದಿನಪತ್ರಿಕೆ ಮುಳಬಾಗಿಲಿನ ಚಿತ್ರವನ್ನು ಪ್ರಕಟಿಸಿತು. ಏಕ ಪೋಷಕರ ಮಕ್ಕಳಿಗೆ ವಿದ್ಯಾರ್ಥಿವೇತನ ವಿತರಣೆ.,2024ರ->ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತನಾಲ್ಕರ,,1,yes,"Appreciative and grounded. Award and publication names must be audible and unhurried: ಭಾರತ್ ಶಿಕ್ಷಾ ರತ್ನ ಪ್ರಶಸ್ತಿ, ಉದಯವಾಣಿ."
K37,gratitude,community,ಎಫ್ · ಗುರುತಿಸುವಿಕೆ ಮತ್ತು ಕೃತಜ್ಞತೆ,00:04:15:11,00:04:26:02,255.43999999999997,8.64,2,0,11,102,natural,0.78,500,"2025ರ ಡಿಸೆಂಬರ್‌ನಲ್ಲಿ, ನವದೆಹಲಿಯ ರಾಷ್ಟ್ರೀಯ ಶೃಂಗಸಭೆಯಲ್ಲಿ, ಸಂಸ್ಥಾಪಕರಿಗೆ ಭಾರತ್ ಶಿಕ್ಷಾ ರತ್ನ ಪ್ರಶಸ್ತಿ ಸಂದಿತು.","ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತೈದರ ಡಿಸೆಂಬರ್‌ನಲ್ಲಿ, ನವದೆಹಲಿಯ ರಾಷ್ಟ್ರೀಯ ಶೃಂಗಸಭೆಯಲ್ಲಿ, ಸಂಸ್ಥಾಪಕರಿಗೆ ಭಾರತ್ ಶಿಕ್ಷಾ ರತ್ನ ಪ್ರಶಸ್ತಿ ಸಂದಿತು.",2025ರ->ಎರಡು ಸಾವಿರದ ಇಪ್ಪತ್ತೈದರ,,1,yes,"Appreciative and grounded. Award and publication names must be audible and unhurried: ಭಾರತ್ ಶಿಕ್ಷಾ ರತ್ನ ಪ್ರಶಸ್ತಿ, ಉದಯವಾಣಿ."
