claim_id,category,exact_claim,language_neutral_fact,status,source_path,source_section,source_route,notes,approval_needed
MIS-05,mission,"children residing in the rural sector, children of HIV patients, tribal children",Beneficiary groups,VERIFIED,invite.md; data/milestones.ts; data/websiteContent.ts,Invitation letter; 2024 and 2025 milestones; partnerNGOs,/content/donor-invite,Cross-corroborated by the Belaku Trust and Soukhya Samrudhi partnerships.,no
MIS-06,mission,children of acid-attack victims,Additional beneficiary group,NEEDS CONFIRMATION,invite.md; components/pages/DonorInviteContentPage.tsx,Invitation letter,/content/donor-invite,"Appears only in outbound letters. No programme, photo, partner, or timeline entry supports it. Do not narrate without evidence.",yes
MIS-07,mission,no child under our care is left unschooled,Operating promise,VERIFIED,invite.md; components/pages/WebpageContentPage.tsx,Founder's letter,/content/donor-invite,Founder's own phrasing. Excellent closing line.,no
PRC-01,process,"School principals, well-wishers, and citizens of communities nominate deserving students from income deprived backgrounds",Step 1 Identify,VERIFIED,data/websiteContent.ts,process.steps[0],/,,no
PRC-02,process,"We visit to location, gather the students with parents in one place and interview each student nominated and their parents to verify the genuineness of their case",Step 2 Validate,VERIFIED,data/websiteContent.ts,process.steps[1],/,Photo-backed: 2024 and 2025 interview images exist.,no
PRC-03,process,pay up to 75% of their tuition fees at their current school,Step 3 Embrace,VERIFIED,data/websiteContent.ts; public/magazine/template-06.html,process.steps[2]; Our Story,/,,no
PRC-04,process,Our team will pay the school fees directly to the school,Step 4 Incubate,VERIFIED,data/websiteContent.ts,process.steps[3],/,,no
PRG-01,programme,Funded Scholarships,Scholarships covering tuition,VERIFIED,data/activities.tsx,activities[0],/,,no
PRG-02,programme,Our team travels to rural areas to personally meet the children,Field visits,VERIFIED,data/activities.tsx; data/milestones.ts,activities[1]; every milestone,/,,no
PRG-03,programme,"school bags, notebooks, pens, stationery, sanitary pads, drawing kits",Essential supplies distribution,VERIFIED,data/activities.tsx,activities[2],/,Sanitary pads are listed in code but never shown or mentioned elsewhere. Handle with care on screen; mention generically as 'essentials'.,yes - tone
PRG-04,programme,Educational Games & Activities,Learning games,VERIFIED,data/activities.tsx,activities[3],/,Photo support is thin. Only 'kids-craft.jpeg' clearly matches.,no
PRG-05,programme,"We share stories of language and culture, helping children understand their history.",Cultural awareness programmes,VERIFIED,data/activities.tsx; public/magazine/template-06.html,activities[4]; What We Do,/,No dedicated photography exists.,no
PRG-06,programme,We provide career counselling to 9th and 10th standard students,Career counselling,VERIFIED,"data/activities.tsx; data/milestones.ts 2023, 2024",activities[5]; milestones,/,Photo: assets/images/timeline/2024-classroom-career-counselling-session.jpg,no
PRG-07,programme,We establish libraries in rural schools with donated books,Library setup,VERIFIED,data/activities.tsx; data/milestones.ts 2022; 2022 poster,activities[6]; milestone 2022,/,Poster names the two sites. Strong photo support.,no
PRG-08,programme,"community events, talent showcases, and interactive sessions",Community engagement,VERIFIED,data/activities.tsx,activities[7],/,,no
PRG-09,programme,We offer parent counselling,Parent counselling,VERIFIED,data/activities.tsx,activities[8],/,"No photo or milestone evidence. Mention only in a programme list, not as a scene.",no
TML-2016,timeline,It was the first child to whom we gave scholarship and this was our first school visit. We distributed steel plates and steel glass to 150 students in Chickaballapur.,"2016: first scholarship, first school visit, 150 students received steel plates and glasses, Chickaballapur",VERIFIED,data/milestones.ts,milestones[0],/,Photo-backed by the site hero image. The single strongest origin beat in the film.,no
TML-2017,timeline,10 students were given scholarship,"2017: 10 scholarships, Chickaballapur",VERIFIED,data/milestones.ts; public/magazine/template-06.html,milestones[1],/,,no
TML-2018,timeline,"Continued support in Chickaballapur, building on our foundation.",2018: continued activity in Chickaballapur,VERIFIED,data/milestones.ts,milestones[2],/,"Thin. The magazine adds home visits and renewals, which is NOT in the data. See TML-2018b.",no
TML-2018b,timeline,renewing scholarships for every continuing student ... validated through personal home visits and parent interviews,2018: renewals plus home visits,NEEDS CONFIRMATION,public/magazine/template-06.html,Timeline 2016-2019 spread,n/a,Magazine-only elaboration written for layout. Not in milestones.ts.,yes
TML-2019,timeline,"Scholarships were given to more children, expanding our reach. Location: KGF",2019: scholarships expanded,NEEDS CONFIRMATION,data/milestones.ts; public/magazine/template-06.html,milestones[3]; Timeline spread,/,"CONFLICT: code says KGF, magazine says Chickaballapur.",yes
TML-2020,timeline,"Continued support during challenging times. Location: Chickaballapur, KGF",2020: support continued through the pandemic,VERIFIED,data/milestones.ts,milestones[4],/,CONFLICT on location with the magazine (Chickaballapur only).,yes - location only
TML-2020b,timeline,PANDEMIC RELIEF TO STUDENTS. Financial support is given to deserving school children/parent(s) from families in India affected by the COVID-19 pandemic. Who shall avail the scholarship: 1. Children who lost their parent(s). and/or 2. Parents who lost their job(s) and are unable to pay school fees. An initiative by LAW PARK EDUCATIONAL TRUST,2020: a named COVID relief scholarship with published eligibility criteria,VERIFIED,assets/images/timeline/2020-pandemic-relief-announcement-poster.jpg,LPET-authored poster carrying the trust logo and contact details,n/a,Best 2020 evidence in the repository. Far stronger than the vague milestone text. Use the poster on screen.,no
TML-2021,timeline,"Children were given scholarship, marking a significant milestone in our journey. Location: KGF",2021: scholarships given,NEEDS CONFIRMATION,data/milestones.ts; CLIENT_FEEDBACK_STATUS.md,milestones[5],/,CLIENT_FEEDBACK_STATUS.md records that specific numbers were deliberately REMOVED from this milestone at client request. Do not attempt to restore a number. Location conflicts with the magazine.,yes
TML-2022,timeline,"Libraries were setup in few rural schools with donated books (Story books, acedemic books related to engineering, NEET, unused note books). Rural sector scholarship conducted at Law park office premises.",2022: libraries in rural schools; scholarship event at the LPET office,VERIFIED,data/milestones.ts,milestones[6],/,Note the typo 'acedemic' in source. Do not reproduce.,no
TML-2022b,timeline,"HELP US TO SET UP A LIBRARY.. At 1)DMS JNANA KUTEERA SCHOOL, BABY Village - Mandya 2)Grameena Mahaila Okutta (Part of Gram Vikas NGO) - Kolar",2022: the two named library sites,VERIFIED,assets/images/timeline/2022-library-donation-poster.jpg,LPET-authored campaign poster,n/a,Names a partner (Grameena Mahila Okkuta / Gram Vikas) absent from partnerNGOs in code. Spelling on the poster is 'Mahaila Okutta'; confirm correct spelling.,yes - spelling
TML-2023,timeline,Expanded to Mysore and H.D. Kote. Conducted career counselling for 10th and 9th standard students.,2023: Mysore and H.D. Kote; career counselling,VERIFIED,data/milestones.ts,milestones[7],/,,no
TML-2024,timeline,"Visited DMS Jnana Kuteera School for interviews and career counselling. Conducted scholarship interviews in Mulbagal. Started academic year 2024-25 with visit to MM Hills tribal schools to distribute 200 school bags, notebooks and stationeries. Extended support to HIV affected children.","2024: DMS interviews, Mulbagal interviews, 200 bags at MM Hills, HIV-affected children",VERIFIED,data/milestones.ts,milestones[8],/,Richest photographic year after 2025.,no
TML-2025,timeline,"Distributed 300 school bags, notebooks and stationeries to H.D. Kote tribal kids in association with Nisarga foundation. Conducted interviews in KGF and Kolar. Distributed supplies to HIV affected children and other Chronic Health Condition kids. 20 students received scholarship at DMS Jnana Kuteera School.",2025: 300 bags at H.D. Kote with Nisarga Foundation; KGF and Kolar interviews; HIV and chronic-condition support; 20 scholarships at DMS Jnana Kuteera,VERIFIED,data/milestones.ts,milestones[9],/,23 photographs. Best-covered year.,no
TML-2026,timeline,(no entry),2026: no recorded activity,NEEDS CONFIRMATION,data/milestones.ts,milestones array ends at 2025,/,The film is being made for a 2026 anniversary but the repository records nothing for 2026. Six WhatsApp photos dated 8 April 2026 exist but are uncontextualised.,yes - CRITICAL
NUM-01,number,150 students,150 students received steel plates and steel glasses in 2016,VERIFIED,data/milestones.ts,milestones[0].description,/,,no
NUM-02,number,1 scholarship,The first scholarship went to one child in 2016,VERIFIED,data/milestones.ts,milestones[0].impact,/,,no
NUM-03,number,10 students,10 students received scholarships in 2017,VERIFIED,data/milestones.ts,milestones[1],/,,no
NUM-04,number,200 school bags,"200 school bags, notebooks and stationery, MM Hills tribal schools, 2024",VERIFIED,data/milestones.ts; public/magazine/template-06.html,milestones[8]; 'Did you know?',/,,no
NUM-05,number,300 school bags,"300 school bags, notebooks and stationery, H.D. Kote, 2025",VERIFIED,data/milestones.ts; public/magazine/template-06.html,milestones[9],/,,no
NUM-06,number,20 students,20 students received scholarships at DMS Jnana Kuteera School in 2025,VERIFIED,data/milestones.ts,milestones[9],/,,no
NUM-07,number,up to 75%,LPET covers up to 75 percent of tuition fees,VERIFIED,data/websiteContent.ts; public/magazine/template-06.html,process Embrace,/,,no
NUM-08,number,10 Years of Impact,Ten years of operation,VERIFIED,data/stats.ts; components/sections/Hero.tsx,stats[1],/,Depends on ORG-12.,yes - see ORG-12
NUM-C1,number,1000+ Students Supported,Cumulative students supported,NEEDS CONFIRMATION,data/stats.ts; public/magazine/template-06.html,stats[0]; Our Story stat band,/,"CONFLICT GROUP A. Contradicted by Hero.tsx (500+), CLIENT_FEEDBACK_STATUS.md (500+) and PROJECT_SUMMARY.md (550+).",yes - CRITICAL
NUM-C2,number,500+ Students Supported,Cumulative students supported,NEEDS CONFIRMATION,components/sections/Hero.tsx,hero stat strip,/,CONFLICT GROUP A. The homepage hero and the impact section directly below it show different totals to the same visitor.,yes - CRITICAL
NUM-C3,number,150+ Villages Reached,Villages reached,NEEDS CONFIRMATION,data/stats.ts; public/magazine/template-06.html,stats[2],/,"CONFLICT GROUP B. CLIENT_FEEDBACK_STATUS.md records the same 150+ figure as SCHOOLS, not villages.",yes - CRITICAL
NUM-C4,number,150+ Schools Reached,Schools reached,NEEDS CONFIRMATION,CLIENT_FEEDBACK_STATUS.md,Statistics Updated,n/a,CONFLICT GROUP B.,yes
NUM-C5,number,10+ Districts Reached,Districts reached,NEEDS CONFIRMATION,data/stats.ts; public/magazine/template-06.html,stats[3],/,"CONFLICT GROUP C. Hero says 5+ districts. Only 8 distinct place names appear across the whole timeline: Chickaballapur, KGF, Kolar, Mandya, Mysore, H.D. Kote, MM Hills, Mulbagal, Pandavapura.",yes - CRITICAL
NUM-C6,number,"5+ Districts, Across Karnataka",Districts reached,NEEDS CONFIRMATION,components/sections/Hero.tsx,hero stat strip,/,"CONFLICT GROUP C. Also narrows the geography to Karnataka, while the mission line says 'across India'.",yes - CRITICAL
NUM-X1,number,"550+ students, 8+ locations, 500+ bags distributed",Superseded statistics,EXCLUDE,PROJECT_SUMMARY.md,Impact Overview,n/a,Stale build note from the pre-Next.js Vite version. Superseded by client feedback. Never quote.,no
NUM-X2,number,Donors: Several,Donor count,EXCLUDE,CLIENT_FEEDBACK_STATUS.md,Statistics Updated,n/a,Not a number. Superseded by the current stat set.,no
NUM-C7,number,over 15 villages,Villages covered under a named partnership,EXCLUDE,data/websiteContent.ts,partnerNGOs[0] Rural Education Foundation,/,Attached to a placeholder partner. See PTR-X1.,no
PPL-01,people,"Charulatha M. R., Founder & Managing Trustee","Founder and Managing Trustee, with full biography",VERIFIED,data/websiteContent.ts; public/magazine/template-06.html; assets/images/awards/,trustees[0],/,"Name is spelled 'Charulatha M. R.' in code, 'Charulatha. M. R' in letters, 'Charulata ji' and 'Charu' in testimonials. Fix one form for the film.",yes - spelling
PPL-02,people,"S.M. MANJUNATHA, Trustee","Trustee, with full biography, from Sadenahalli",VERIFIED,data/websiteContent.ts; public/magazine/template-06.html,trustees[1],/,"Rendered as 'S.M. MANJUNATHA', 'S. M. Manjunatha', 'Manjunath ji', 'Mr. Manjunatha S. M'. Fix one form.",yes - spelling
PPL-03,people,Along with my husband Mr. Manjunatha S. M we started this Trust in 2012 (registered 2016),The two trustees are married; work began 2012,NEEDS CONFIRMATION,components/pages/DonorInviteContentPage.tsx,WhatsApp donor letter template literal,/content/donor-invite,"Single source, personal detail, and it carries the founding-year conflict. Do not narrate the marital relationship without explicit permission.",yes - CRITICAL
PPL-04,people,27 first names in teamMembers,Team roster,NEEDS CONFIRMATION,data/websiteContent.ts,teamMembers,/,"First names only, no roles. 'Manjunatha' and 'Nagendran' appear here while 'Nagendra' appears in supporters. Cannot be used in credits until confirmed.",yes
PPL-05,people,"Geetha Jayaram, Education Counselor ... Mr. Nagendra, Community Volunteer",20 volunteers and donors with stated roles and organisations,VERIFIED,data/websiteContent.ts,supporters,/,"Roles and employers are usable. The attached quotes are not, see PPL-X1.",yes - permission to name
PPL-06,people,~110 donor names with cities,Donor roll,VERIFIED,data/websiteContent.ts,donors,/,"Contains near-duplicates: 'Raman ChandraShekar' / 'Raman Chandra Shekar', 'Swapna Sridhar Murthy' / 'Swapna Sreedhar Murthy', 'Veena' twice, 'Ganesh' three times, 'Nanda Kumar' / 'Dr. Nanda Kumar'. De-duplicate before any credit roll.",yes
PPL-X1,people,'Distance doesn't dilute purpose...' and 19 similar first-person quotes,Attributed volunteer and donor quotes,EXCLUDE,data/websiteContent.ts,supporters[].quote,/,"No source document exists for these anywhere in the repository, unlike the 28 testimonials which trace to 'testimany with pic.docx'. Uniform polished cadence across 20 different people. Treat as written-for-layout copy until each named person confirms in writing.",yes - CRITICAL
PPL-07,people,28 named testimonials,Supporter testimonials,VERIFIED,data/websiteContent.ts; public/magazine/testimany with pic.docx; public/magazine/print/extraction-manifest.json,testimonials,/,Traceable to a source docx with a per-image extraction manifest. Written permission for broadcast use is still required.,yes - use permission
AWD-01,award,Bharat Shiksha Ratan Award ... 19th December 2025 ... New Delhi ... Economic and Social Development Foundation (E.S.D.F),Award received by the Founder,VERIFIED,data/websiteContent.ts; SOCIAL_MEDIA_CONTENT.md; assets/images/awards/bharat-shiksha-ratan-award-certificate-scan.jpeg,awards[0]; certificate scan,/,"Certificate scan independently confirms recipient, award name, date, city, awarding body, citation and signatory (H. S. Rawat, Secretary). Certificate is headed 'Certificate of Appreciation'.",no
AWD-02,award,"Out of 25 awardees, we were honored to receive this distinguished award",One of 25 national awardees,NEEDS CONFIRMATION,data/websiteContent.ts; SOCIAL_MEDIA_CONTENT.md; public/magazine/template-06.html,awards[0].description,/,"Not on the certificate. Text sources only, and the magazine phrases it as 'Selected from 25 awardees' which reads differently again.",yes
AWD-03,award,presented by Union Ministers including Mr. Kamal Singh Negi (Cabinet Minister) and Mr. Dinesh Upadhyay (Ayush Minister),Named presenting ministers,NEEDS CONFIRMATION,data/websiteContent.ts; SOCIAL_MEDIA_CONTENT.md,awards[0].presentedBy area,/,"HIGH RISK. Not on the certificate, no ceremony photograph exists, and naming serving Union Ministers of a specific portfolio in a published film is a reputational and factual exposure if wrong. Recommend omitting from the film entirely.",yes - CRITICAL
AWD-04,award,videoUrl: '' // Add video URL once uploaded ; images: [] // Add award ceremony images once uploaded,No ceremony footage or photographs exist,VERIFIED,data/websiteContent.ts,awards[0],/,Placeholder comments left in production code. Confirms the gap rather than filling it.,no
MED-01,media,ಮುಳಬಾಗಿಲು ಮುತ್ತಲಪೇಟೆ ... ವಿದ್ಯಾನಿಕೇತನ ಶಾಲೆಯಲ್ಲಿ ಲಾ ಪಾರ್ಕ್ ಎಜುಕೇಷನಲ್ ಟ್ರಸ್ಟ್ ಮತ್ತು ಬೆಳಕು ಟ್ರಸ್ಟ್‌ನಿಂದ ಏಕ ಪೋಷಕ ಮಕ್ಕಳಿಗೆ ವಿದ್ಯಾರ್ಥಿವೇತನ ವಿತರಿಸಿದರು.,"Udayavani, 19 June 2024: LPET with Belaku Trust distributed scholarships to children of single parents at a Vidyanikethana school in Muttalapete, Mulbagal",VERIFIED,assets/images/timeline/2024-newspaper-coverage-clipping.jpg,"Udayavani epaper clipping, epaper.udayavani.com/c/75279105",n/a,"The only independent third-party verification of LPET's work in the whole repository. Also the authoritative source for the Kannada spellings of the trust name, 'Belaku Trust' and 'scholarship'. The school name is partly illegible at this resolution.",yes - school name
MED-02,media,"Wed, 19 June 2024",Date of press coverage,VERIFIED,assets/images/timeline/2024-newspaper-coverage-clipping.jpg,clipping footer,n/a,,no
PTR-01,partner,in association with Nisarga foundation,"Nisarga Foundation, joint 2025 distribution of 300 school bags in H.D. Kote",VERIFIED,data/milestones.ts; public/magazine/template-06.html,milestones[9]; Partner NGOs,/,Named in both the data and the magazine partner section.,yes - logo permission
PTR-02,partner,"Belaku Trust, Bangarpet ... support children of HIV-affected families",Belaku Trust partnership,VERIFIED,data/websiteContent.ts; assets/images/timeline/2024-newspaper-coverage-clipping.jpg,partnerNGOs[3],/,Independently corroborated by the Udayavani caption.,yes - logo permission
PTR-03,partner,"Soukhya Samrudhi Samsthe, Kolar",Soukhya Samrudhi Samsthe partnership,VERIFIED,data/websiteContent.ts; public/magazine/template-06.html,partnerNGOs[4],/,,yes - logo permission
PTR-04,partner,"District Health & Family Welfare Department, Kolar",Government partner,VERIFIED,data/websiteContent.ts; public/magazine/template-06.html,partnerNGOs[5],/,A government emblem on screen needs explicit departmental clearance.,yes - CRITICAL
PTR-05,partner,Grameena Mahaila Okutta (Part of Gram Vikas NGO) - Kolar,2022 library partner,VERIFIED,assets/images/timeline/2022-library-donation-poster.jpg,LPET library campaign poster,n/a,Absent from partnerNGOs in code. Poster spelling is likely a typo for 'Grameena Mahila Okkuta'.,yes - spelling
PTR-06,partner,DMS Jnana Kuteera School,"School partner, 2022 library, 2023-25 interviews and counselling, 20 scholarships in 2025",VERIFIED,data/milestones.ts; assets/images/timeline/2022-library-donation-poster.jpg,"milestones[8], milestones[9]",/,Named school. Showing its name and building needs school permission.,yes - school permission
PTR-07,partner,"Tech Hat Pvt., Ltd.","Supporter organisation, logo asset present",VERIFIED,data/websiteContent.ts; assets/images/partners/tech-hat-pvt-ltd-logo.svg,testimonials[0],/,Only third-party logo file in the repository.,yes - logo permission
PTR-X1,partner,Rural Education Foundation ... we have established scholarship programs in over 15 villages,Named partner NGO,EXCLUDE,data/websiteContent.ts,partnerNGOs[0],/,"Generic name, generic prose, no location, no contact, no photograph, and absent from the print magazine's partner section which lists only the four real partners. Template placeholder.",yes - confirm deletion
PTR-X2,partner,Children Welfare Society,Named partner NGO,EXCLUDE,data/websiteContent.ts,partnerNGOs[1],/,Same reasoning as PTR-X1.,yes - confirm deletion
PTR-X3,partner,Education for All Initiative,Named partner NGO,EXCLUDE,data/websiteContent.ts,partnerNGOs[2],/,Same reasoning as PTR-X1.,yes - confirm deletion
EVT-01,event,Short video or talk covering the 10-year journey ... 5-7 min,The anniversary event programme reserves a 5 to 7 minute slot for this film,VERIFIED,components/pages/EventPlanPage.tsx,programmeFlow[1],/content/event-plan,Confirms the brief. The 5-minute target fits the slot with buffer.,no
EVT-02,event,"Chief guest (Sudha Murty, if confirmed)","Sudha Murthy invited as chief guest, not confirmed",NEEDS CONFIRMATION,components/pages/EventPlanPage.tsx; components/pages/SudhaMurthyInviteLetter.tsx,programmeFlow[3]; invitation letter dated '______________ 2026',/content/event-plan,The invitation letter has a blank date. Never name or imply the chief guest in the film until the office confirms in writing.,yes - CRITICAL
EVT-03,event,"we want to bring all the children under our care to Bengaluru: an event, a one-day educational tour, surprise gifts ... For many, it will be their first time visiting Bengaluru",The anniversary plan: bring beneficiary children to Bengaluru,VERIFIED,components/pages/WebpageContentPage.tsx; components/pages/DonorInviteContentPage.tsx,sponsorship copy,/content/webpage,"A genuine, moving, forward-looking beat for the closing section. It is a plan, so narrate it in the future tense.",no
EVT-04,event,Launch of the 10-year anniversary magazine,Magazine launch is part of the event,VERIFIED,components/pages/EventPlanPage.tsx,programmeFlow[4],/content/event-plan,,no
EVT-05,event,"With tribal children, we stay with the children for a few days and we teach and learn many activities",Multi-day residential engagement with tribal children,VERIFIED,invite.md; components/pages/SudhaMurthyInviteLetter.tsx,Founder's letter,/content/sudha-murthy-invite,"Founder's own account, in two identical sources. Distinctive and worth narrating.",no
EXC-01,story,"Meena's Story, Raju's Story, Sunita's Story",Three named child narratives,EXCLUDE,public/magazine/template-06.html,"Children's Voices, Three Stories of Hope",n/a,The magazine itself labels these 'Stories inspired by the real children we have met and supported. Names have been changed to protect privacy.' They are composites with invented names and invented dialogue. Absolutely must not appear in a documentary film as fact.,no
EXC-02,privacy,"10 anonymised family case summaries including deaths, HIV status, disability, and attempted child marriage",Children's case histories,EXCLUDE,data/childrenStories.ts; public/magazine/template-06.html,childrenStories; Stories of the Children,/,"Real cases, already anonymised, but they disclose health status, bereavement, family violence and attempted forced marriage. Narrating these over identifiable photographs in a shareable film is a serious dignity and safeguarding risk. May inform tone only. See 14.",yes - CRITICAL
EXC-03,brand,theme_color #15803d (green),Brand colour,EXCLUDE,public/site.webmanifest; app/layout.tsx,theme-color meta,/,Pre-rebrand leftover. Current brand is navy #1c1c2e and gold #c9903e.,no
EXC-04,asset,Thank You Volunteers pink-flowers card,Gratitude graphic,EXCLUDE,assets/images/timeline/thank-you-volunteers-card.jpg,timeline folder,n/a,Third-party stock greeting graphic carrying a visible '(c)WishesMsg' watermark. Copyright risk. Design an LPET-branded gratitude card instead.,no
EXC-05,tech,React 19 / Vite / TanStack Router / 57 images,Stale project description,EXCLUDE,PROJECT_SUMMARY.md,Tech Stack,n/a,Describes the superseded Vite build. Current stack is Next.js 16. Not relevant to the film but flags that this whole document is stale.,no
EXC-06,language,10 Years of Transforming Lives,Site tagline,EXCLUDE,app/layout.tsx,metadata.title.default,/,"Factually fine but 'transforming lives' is exactly the saviour framing the brief rules out, and it translates badly into Kannada. Replace with 'A Decade of Believing in Every Child' which is already used in the hero.",no
